year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q2,0.121629,100192896.9,0.057365,2361400000.0,3.1194,622400000.0,-522207103.1,27892896.9,1990600000.0,109700000.0,62200000.0,171900000.0,26100000.0,1011500000.0,1057500000.0,1057500000.0,2036600000.0,2036600000.0,1990600000.0,2407400000.0,0.0909,0.0909,1365798000.0,3698598000.0,47.7552,47.7552,0.2136,,0.0,-0.051325,1.5663,0.5783,9.8787,31.0546,101.2316,20.2109,,-0.098111,-0.162595,-0.136252,-0.217532,-0.25,-0.270222,-13.074846,0.357907,0.052866,0.207163,0.415484,0.403055,0.613839,1.0,0.856707,-0.049685,-0.012256,0.133917,0.09842,0.056968,0.062808,0.041395,0.866083,0.045517,0.0,0.07695,1.006964,0.654512,-0.006964,1.5135,10.804,4.7539,3.2988,7.965,33.7839,76.7783,45.8253,64.7369,6.3695,15.1885,9.9411,5.4924,5.4924,0.178943,0.015741,0.163202,1.039519,1.218462,-0.285759,0.095062,0.062653,1.248382,-0.302645,-8.674699,-8.674699,4.666667,0.0,0.845975,0.845975,0.0,0.142145,0.01188,5.4396,5.3168,5.4396,55.7423,54.4832,55.7423,1.1273,2.8945,2.6436,2.2058,1.955,3.2137,2.5251,-13.7786,2.0063,0.6651,0.158161,0.165353,0.165353,69650000.0,0.039877,0.041108
2018,Q1,0.081844,71410526.3,0.043047,2390700000.0,2.9465,568900000.0,-497489473.7,26610526.3,2058800000.0,77500000.0,64900000.0,142400000.0,37900000.0,1047800000.0,1092300000.0,1092300000.0,2103300000.0,2103300000.0,2058800000.0,2435200000.0,-0.0607,-0.0607,1425591000.0,3835391000.0,,,0.2297,,0.0,-0.034722,1.6043,0.618,9.7568,27.3176,,16.8145,,-0.296095,-0.446429,-0.449418,-0.554672,-0.653846,0.807163,-5.195386,0.312274,0.109187,5.175953,1.79001,2.104362,1.327725,1.195652,0.464286,0.270503,0.007586,0.117668,0.08584,0.038339,0.046718,0.027006,0.882332,0.046235,0.0,0.07933,1.122807,0.514839,-0.122807,1.4496,10.8468,4.5467,3.1607,8.0378,33.6505,80.2783,45.4103,68.5184,7.6606,17.603,9.0627,6.3371,6.3371,0.126836,0.014283,0.112553,0.86222,0.989057,-0.355468,0.067724,0.039149,1.510485,-0.504899,6.29661,6.29661,1.730871,0.0,0.863707,0.863707,0.0,0.144136,-0.007843,5.3505,5.2373,5.3505,-11.6977,-11.4502,-11.6977,1.0561,2.0612,1.8992,1.0532,0.8912,1.7447,0.7367,-13.2311,2.0897,0.6627,0.168837,0.176007,0.176007,44520000.0,0.026837,0.024052
2017,Q4,0.054279,-64662232.1,-0.043235,2372700000.0,2.9459,617300000.0,-681962232.1,72037767.9,2072100000.0,-98100000.0,64000000.0,-34100000.0,63800000.0,1032100000.0,1070100000.0,1070100000.0,2110100000.0,2110100000.0,2072100000.0,2410700000.0,-0.1419,-0.1419,1778938000.0,4196238000.0,,,0.2926,286.9255,0.0,0.003485,1.7685,0.6901,9.2632,20.6813,14.2771,21.1078,,-1.703093,-8.342857,-4.879456,-1.789796,-0.916667,1.682635,-9.573386,0.351658,0.00087,-1.361996,-4.27,-0.135381,-13.097345,-22.0,1.910569,-0.14644,0.075859,0.053357,-0.0228,-0.042792,-0.065592,-0.091401,0.946643,0.052086,0.0,0.096149,1.010347,1.379205,-0.010347,1.4289,12.6703,4.2896,3.0398,8.3726,28.8074,85.0886,43.5947,70.3013,9.0051,20.6272,28.4492,7.0196,7.0196,-0.127366,0.038777,-0.166143,-1.496134,-1.6235,-0.156676,-0.093724,-0.130603,1.767814,1.246546,1.170118,1.170118,0.702194,0.0,0.875306,0.875306,0.0,0.143195,-0.018501,4.6581,4.5742,4.6581,7.1793,7.05,7.1793,0.9291,-2.6371,-1.7382,-4.3522,-3.4533,1.2043,-0.5108,-18.3323,2.069,0.5552,0.169739,0.175989,0.175989,-5390000.0,-0.003604,-0.090465
2017,Q3,0.028495,-56952000.0,-0.038113,2205400000.0,3.1003,537900000.0,-594852000.0,-68252000.0,2028900000.0,30000000.0,64200000.0,94200000.0,36600000.0,858700000.0,928000000.0,928000000.0,2098200000.0,2098200000.0,2028900000.0,2274700000.0,-0.6093,-1.6879,1621100000.0,4003200000.0,,,0.27,17.3565,0.0,0.057615,1.8152,0.6668,7.4742,13.7804,12.8508,23.4517,,-0.482133,-0.757674,-1.527677,-0.835994,-1.095238,-1.189742,-4.406364,0.322579,-0.040393,-0.505771,-0.770992,-1.490975,-0.877706,-1.083333,-1.294787,-15.032815,0.2682,0.098575,0.06304,0.025296,0.020076,0.007562,0.901425,0.045305,0.0,0.073278,-1.506667,-0.25,2.506667,1.4328,11.4092,4.5096,2.9631,7.5492,31.9918,80.939,48.3497,64.5811,-40.2391,-84.9048,21.2262,11.8878,11.8878,-0.11816,-0.03437,-0.08379,3.371622,3.253462,-0.116908,0.028765,0.010835,-7.341439,27.138557,0.515776,0.515776,-1.344262,0.0,0.922407,0.922407,0.0,0.155273,-0.077681,3.9175,3.7881,3.9175,6.7355,6.513,6.7355,0.9201,0.8,-1.5187,-0.176,-2.4947,-1.312,-2.288,-15.8627,1.9239,0.6299,0.143033,0.154576,0.154576,26460000.0,0.017707,-0.005019
2017,Q2,0.04356,115997844.8,0.074491,1739000000.0,3.5863,153100000.0,-37102155.2,23597844.8,1553400000.0,131000000.0,59600000.0,190600000.0,19600000.0,791100000.0,927400000.0,927400000.0,1689700000.0,1689700000.0,1553400000.0,1875300000.0,-0.5307,-0.5307,2064951000.0,3970751000.0,,,0.3463,13.7572,0.0,0.072689,2.2834,0.666,6.3705,10.3324,11.5739,8.2862,20.9011,0.542071,1.02473,0.273596,1.725664,2.0,2.543941,-1.111291,0.096538,0.015521,-0.057835,-0.064286,-0.105645,-0.081511,-0.076923,3.597796,0.537956,-0.04545,0.152325,0.122399,0.074814,0.084125,0.059337,0.847675,0.042127,0.0,0.077511,0.99569,0.708397,0.00431,1.5048,12.175,4.7758,2.9996,7.7935,29.9795,76.4275,46.8337,59.5732,-29.9122,-68.9035,-48.811,9.104,9.104,0.267151,0.01372,0.253431,-7.580659,-7.313508,0.114276,0.126595,0.089293,-6.365217,-53.865576,0.422734,0.422734,8.515306,0.0,0.901029,0.901029,0.0,0.187917,-0.088946,2.7109,2.4922,2.7109,4.9251,4.5278,4.9251,1.1706,3.4293,3.0366,2.9162,2.5235,4.3691,3.856,-0.9713,2.0004,0.7197,0.132688,0.155549,0.155549,115997844.8,0.074491,0.059594
2017,Q1,0.009613,129700000.0,0.084583,1821800000.0,3.4349,210000000.0,-80300000.0,29100000.0,1667300000.0,140000000.0,62300000.0,202300000.0,32500000.0,868600000.0,1054300000.0,885800000.0,1853000000.0,1684500000.0,1667300000.0,2007500000.0,-0.7297,-0.7297,2258379000.0,4309379000.0,,,0.383,25.0375,0.0,0.03994,2.3655,0.7308,7.7465,13.5515,14.0939,21.1037,45.0014,0.903104,1.959831,1.763494,21.863636,4.25,-0.734455,-1.219859,0.130289,0.080925,3.171134,14.333333,12.793058,3.053061,2.083333,1.173653,-0.245,0.037826,0.167275,0.131929,0.084583,0.0913,0.065606,0.832725,0.046759,0.0,0.082692,1.0,0.718571,0.0,1.4576,11.6405,4.5764,2.9254,7.6863,31.3559,79.7578,47.4872,63.6265,-8.5117,-17.7023,-12.7203,10.9029,11.9935,0.290538,0.014959,0.275579,-2.345651,-2.055113,0.055779,0.133076,0.095625,-1.668344,-5.483748,0.512306,0.512306,1.116923,0.083935,0.839103,0.923039,0.0,0.191133,-0.114172,3.3309,2.9971,3.028,6.0603,5.453,5.5092,1.1273,3.5533,3.2919,2.7284,2.467,0.9213,0.0964,-2.0381,1.8535,0.6843,0.147293,0.178783,0.150209,90790000.0,0.059208,0.065606
2016,Q4,-0.080443,-10997996.0,-0.007753,1755400000.0,3.4029,53500000.0,-64497996.0,38002004.0,1643400000.0,-10500000.0,59000000.0,48500000.0,45700000.0,785200000.0,958400000.0,958400000.0,1816600000.0,1816600000.0,1643400000.0,1928600000.0,-1.0469,-1.1731,2654600000.0,4682200000.0,,,0.4513,,0.0,-0.002938,2.6673,0.796,10.1721,20.7821,21.458,15.3716,28.4282,0.539683,0.524887,0.738978,0.623656,0.707317,82.5,-1.454001,0.031435,-0.023608,-0.73337,-1.084814,-1.1019,-1.711176,-2.142857,-0.935596,-1.369342,0.052714,0.168124,0.034189,-0.007895,-0.007402,-0.034541,0.831876,0.050402,0.0,0.176019,0.981964,4.752381,0.018036,1.4488,13.2653,4.3284,2.8689,7.8322,27.5154,84.3261,46.6024,65.2391,-8.1491,-16.7916,-79.7999,16.2196,16.2196,-0.026382,0.019286,-0.045668,0.372153,0.345771,0.095278,-0.010724,-0.050044,-1.584367,0.893598,1.462199,1.462199,0.365427,0.0,0.941927,0.941927,0.0,0.199212,-0.141139,3.9466,3.5703,3.9466,8.3253,7.5315,8.3253,1.0767,-0.2665,-0.2791,-1.4264,-1.439,0.4239,-0.736,-1.637,2.1076,0.711,0.133481,0.162924,0.162924,81797595.2,0.057661,-0.035176
2016,Q3,-0.150301,107929580.8,0.074286,1667500000.0,3.5315,-66700000.0,174629580.8,39029580.8,1942700000.0,123800000.0,58100000.0,181900000.0,28000000.0,709100000.0,766600000.0,766600000.0,2000200000.0,2000200000.0,1942700000.0,1725000000.0,-2.7225,-2.7225,1147125000.0,3461225000.0,,,0.191,,0.0,-0.079154,2.0757,0.5762,7.8079,16.1967,,12.014,,0.258824,0.465089,1.298307,1.835391,4.25,1.231497,-0.721866,-0.038462,-0.026337,0.471683,0.913447,0.185011,1.032448,1.625,3.398705,-0.476183,0.051453,0.178127,0.125198,0.090027,0.085209,0.047422,0.821873,0.055062,0.0,0.0881,0.82515,0.674475,0.17485,1.4702,11.5534,4.6685,2.9096,7.4253,31.5925,78.1842,49.1562,60.6205,-5.4765,-10.7529,-7.2525,-7.2682,-7.2682,0.262342,0.018757,0.243585,-1.333994,-1.071653,-0.520622,0.125275,0.069721,-1.001184,-2.144575,-3.904348,-3.904348,9.260714,0.0,1.159536,1.159536,0.0,0.215304,-0.374841,4.5121,4.3824,4.5121,-2.1006,-2.0402,-2.1006,0.9628,3.072,2.6782,2.3772,1.9834,6.4342,5.7395,4.3332,1.8204,0.5849,0.118053,0.127626,0.127626,107929580.8,0.074286,0.057471
2016,Q2,-0.116728,91078970.0,0.061037,1585900000.0,3.6693,-242300000.0,333378970.0,57178970.0,1886500000.0,64700000.0,58900000.0,123600000.0,25100000.0,608800000.0,665000000.0,665000000.0,2078100000.0,2078100000.0,2021900000.0,1777500000.0,-3.1433,-3.1433,1008424000.0,3409924000.0,,,0.161,,0.0,-0.133872,2.1502,0.5444,8.4009,19.5523,11.9334,23.5167,6.4576,0.78355,6.523256,8.044405,1.684848,1.222222,-2.248268,4.057687,-0.132535,-0.017514,0.162747,0.367865,0.940603,6.704545,2.0,-1.790783,-0.087216,-0.016069,0.112049,0.082831,0.041951,0.043359,0.022718,0.887951,0.041683,0.0,0.070098,1.454936,0.360124,-0.454936,1.5178,12.3299,5.1852,3.008,8.1112,29.6028,70.3924,44.9993,54.9959,-5.4711,-10.8089,-3.8926,-6.9132,-6.9132,0.223959,0.027373,0.196586,-1.075532,-0.851573,0.309333,0.065809,0.034481,-1.019513,-1.719762,-1.341716,-1.341716,-4.306773,0.0,1.169114,1.169114,0.0,0.213558,-0.382672,5.1197,4.9813,5.1197,7.2725,7.0758,7.2725,0.9092,1.5628,2.2,0.9565,1.5937,-2.6111,-3.2174,8.0526,1.7501,0.5693,0.097197,0.106169,0.106169,43820000.0,0.029366,0.015615
2016,Q1,-0.13256,46933333.3,0.030902,1611800000.0,3.6482,-318300000.0,365233333.3,42533333.3,2223400000.0,47300000.0,59000000.0,106300000.0,28800000.0,637700000.0,750700000.0,750700000.0,2336400000.0,2336400000.0,2223400000.0,1724800000.0,-5.5803,-5.5803,733075000.0,3335375000.0,,,0.1135,,0.0,-0.295058,2.0693,0.5162,9.4863,28.1942,20.8408,9.8186,6.9728,0.32875,1.766082,0.351793,1.015131,0.953488,51.62963,1.954657,-0.164914,-0.015492,2.374603,3.140271,2.113898,1.033794,0.902439,682.5,1.570877,-0.052941,0.100935,0.069989,0.031604,0.031143,0.002897,0.899065,0.041809,0.0,0.069331,0.977778,0.095137,0.022222,1.5124,12.1524,5.0277,3.0524,8.3341,30.0353,72.5977,43.7957,58.8373,-4.526,-8.5053,-0.8092,-3.8201,-3.8201,0.112736,0.018711,0.094025,-0.425559,-0.312824,0.270104,0.047102,0.004382,-0.78447,-0.558224,-0.656291,-0.656291,4.746528,0.0,1.354592,1.354592,0.0,0.219678,-0.574269,6.6451,6.3237,6.6451,14.5988,13.8927,14.5988,0.9029,1.1051,1.0966,0.4322,0.4237,3.1939,2.521,8.5335,1.757,0.6067,0.098703,0.116193,0.116193,46933333.3,0.030902,0.002963
