year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q2,,7300000.0,,,54900000.0,,-4600000.0,,,-94500000.0,-25800000.0,121800000.0,-94500000.0,-25800000.0,121800000.0,1500000.0,72300000.0,72300000.0,-8100000.0,,300000.0,,-24500000.0,,-26100000.0,-70000000.0,,,
2018,Q1,,10000000.0,,,54900000.0,,-36000000.0,,0.0,-21200000.0,-37900000.0,65600000.0,-21200000.0,-37900000.0,65600000.0,6500000.0,44800000.0,44800000.0,-8100000.0,,0.0,,-10300000.0,,-37900000.0,-10900000.0,,,
2017,Q4,500000.0,6200000.0,,,57800000.0,,58400000.0,,35000000.0,-12800000.0,-63300000.0,44800000.0,-12800000.0,-63300000.0,44800000.0,-31300000.0,-98800000.0,-98800000.0,21200000.0,,,,-20900000.0,,-63800000.0,-26900000.0,,,
2017,Q3,-360900000.0,6200000.0,,,58000000.0,,-70600000.0,,695000000.0,378400000.0,-396200000.0,-49200000.0,378400000.0,-396200000.0,-49200000.0,-67000000.0,-26600000.0,-26600000.0,-16200000.0,,1300000.0,,-16300000.0,,-36600000.0,-300300000.0,,,
2017,Q2,,4500000.0,,,55100000.0,,31100000.0,,,-198100000.0,-18200000.0,166900000.0,-198100000.0,-18200000.0,166900000.0,-49400000.0,92400000.0,92400000.0,-16200000.0,,1400000.0,,-26800000.0,,-19600000.0,-171300000.0,,,
2017,Q1,,7200000.0,,,55100000.0,,-110400000.0,,400000000.0,7200000.0,-31000000.0,36300000.0,7200000.0,-31000000.0,36300000.0,12500000.0,100600000.0,100600000.0,-16200000.0,,1500000.0,,-15100000.0,,-32500000.0,-377700000.0,,,
2016,Q4,,4100000.0,,,54900000.0,,-92500000.0,351000000.0,5200000.0,144600000.0,-45600000.0,16700000.0,144600000.0,-45600000.0,16700000.0,115700000.0,-49000000.0,-49000000.0,99200000.0,,100000.0,,-21900000.0,,-45700000.0,-189700000.0,,,
2016,Q3,,4400000.0,,,53700000.0,,138000000.0,,,-121100000.0,107500000.0,259300000.0,-121100000.0,107500000.0,259300000.0,1300000.0,68900000.0,68900000.0,-5700000.0,,135500000.0,-244400000.0,-26200000.0,,-28000000.0,-94900000.0,,,
2016,Q2,,4600000.0,,,54300000.0,,-189000000.0,249400000.0,380000000.0,-34800000.0,-158300000.0,-108100000.0,-34800000.0,-158300000.0,-108100000.0,-56800000.0,33900000.0,33900000.0,-11900000.0,,-133200000.0,244400000.0,-15900000.0,,-25100000.0,-648300000.0,,,
2016,Q1,,5300000.0,,,53700000.0,,85200000.0,,0.0,-51400000.0,-28900000.0,136700000.0,-51400000.0,-28900000.0,136700000.0,56400000.0,4400000.0,4400000.0,-11900000.0,,-100000.0,,-21100000.0,,-28800000.0,-30300000.0,,,
2015,Q4,,4200000.0,,,49400000.0,,-124500000.0,,,-30600000.0,-3000000.0,200000.0,-30600000.0,-3000000.0,200000.0,-33400000.0,-130200000.0,-130200000.0,201300000.0,,11000000.0,,-26600000.0,,-28000000.0,-4000000.0,,14000000.0,
2015,Q3,,4500000.0,,,55500000.0,,50900000.0,,,-80100000.0,-21100000.0,116200000.0,-80100000.0,-21100000.0,116200000.0,15000000.0,24300000.0,24300000.0,-19000000.0,,200000.0,,-27100000.0,,-21300000.0,-53000000.0,,,
2015,Q2,,5000000.0,,,55700000.0,25000000.0,91500000.0,,-75000000.0,-111500000.0,10500000.0,86600000.0,-111500000.0,10500000.0,86600000.0,-14400000.0,-49500000.0,-49500000.0,-16100000.0,,6900000.0,,-24300000.0,,-21400000.0,-12200000.0,,,
2015,Q1,,7500000.0,,,55400000.0,,-15000000.0,,75000000.0,55800000.0,-33900000.0,-2700000.0,55800000.0,-33900000.0,-2700000.0,19200000.0,-290800000.0,-290800000.0,240200000.0,,-5600000.0,,-18300000.0,,-28300000.0,-900000.0,,,
2014,Q4,-23100000.0,4500000.0,,,55600000.0,,-180100000.0,,45000000.0,18300000.0,-66700000.0,57800000.0,18300000.0,-66700000.0,57800000.0,9400000.0,29700000.0,29700000.0,148100000.0,,-1800000.0,,-20400000.0,,-41800000.0,-6300000.0,,,
2014,Q3,-722200000.0,5100000.0,,,49100000.0,,-105000000.0,345300000.0,457100000.0,780900000.0,-725400000.0,-49500000.0,780900000.0,-725400000.0,-49500000.0,6000000.0,8900000.0,8900000.0,-7600000.0,,8500000.0,,-11700000.0,,-11700000.0,-9800000.0,,,
2014,Q2,-45000000.0,4500000.0,,,48500000.0,,-83600000.0,,290000000.0,288500000.0,-58700000.0,-206100000.0,288500000.0,-58700000.0,-206100000.0,23700000.0,-1500000.0,-1500000.0,-174000000.0,,100000.0,,-1100000.0,,-13800000.0,-400000.0,,,
2014,Q1,,6300000.0,,,48700000.0,,-64500000.0,,150000000.0,117800000.0,-7000000.0,-125000000.0,117800000.0,-7000000.0,-125000000.0,-14200000.0,-71200000.0,-71200000.0,-44300000.0,,6800000.0,,-27800000.0,,-13800000.0,-4400000.0,,,
2013,Q4,,4000000.0,,,45200000.0,,-70300000.0,,-94300000.0,-118400000.0,-15500000.0,113500000.0,-118400000.0,-15500000.0,113500000.0,-20400000.0,51800000.0,51800000.0,82800000.0,,,,-23700000.0,,-15500000.0,-400000.0,,,
2013,Q3,,4400000.0,,,48400000.0,,-77500000.0,,145000000.0,131900000.0,-5400000.0,-119200000.0,131900000.0,-5400000.0,-119200000.0,7300000.0,-15700000.0,-15700000.0,-78800000.0,,10300000.0,,-13500000.0,,-15700000.0,400000.0,,,
2013,Q2,-50000000.0,4800000.0,,,47900000.0,,-52900000.0,,71900000.0,26000000.0,-61900000.0,-97500000.0,26000000.0,-61900000.0,-97500000.0,-133400000.0,-25500000.0,-25500000.0,-71800000.0,,4000000.0,,-18500000.0,,-15900000.0,-28000000.0,600000.0,,
2013,Q1,,5900000.0,,,48600000.0,,-46100000.0,,0.0,-12500000.0,-15700000.0,-7000000.0,-12500000.0,-15700000.0,-7000000.0,-35200000.0,6800000.0,6800000.0,-22200000.0,,800000.0,,-9100000.0,,-16500000.0,-2800000.0,-600000.0,,
