date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,4.265,1,5.4,4.21,4.3,407810046.0,4.265,0.0,5.4,4.21,4.3,1.0,407810046.0
2018-06-30,4.34,1,4.935,4.14,4.51,813645258.0,4.34,0.0,4.935,4.14,4.51,1.0,813645258.0
2018-03-31,4.53,1,6.8,4.26,5.72,1350302977.0,4.53,0.0,6.8,4.26,5.72,1.0,1350302977.0
2017-12-31,5.66,1,6.29,4.0,5.56,1007715912.0,5.66,0.0,6.29,4.0,5.56,1.0,1007715912.0
2017-09-30,5.59,1,6.88,5.01,6.51,1131810918.0,5.59,0.0,6.88,5.01,6.51,1.0,1131810918.0
2017-06-30,6.57,1,7.7,5.3,7.28,1204975678.0,6.57,0.0,7.7,5.3,7.28,1.0,1204975678.0
2017-03-31,7.19,1,11.28,6.7,10.42,1254535387.0,7.19,0.0,11.28,6.7,10.42,1.0,1254535387.0
2016-12-31,10.21,1,11.39,4.42,4.9107,1320152273.0,10.21,0.0,11.39,4.42,4.9107,1.0,1320152273.0
2016-09-30,4.83,1,7.09,3.87,4.6,793100188.0,4.83,0.0,7.09,3.87,4.6,1.0,793100188.0
2016-06-30,4.66,1,5.5,3.31,4.035,872009592.0,4.66,0.0,5.5,3.31,4.035,1.0,872009592.0
2016-03-31,4.13,1,4.48,1.64,2.15,462907222.0,4.13,0.0,4.48,1.64,2.15,1.0,462907222.0
2015-12-31,2.24,1,3.25,1.99,2.45,398274020.0,2.24,0.0,3.25,1.99,2.45,1.0,398274020.0
2015-09-30,2.41,1,3.93,2.05,3.9,618843785.0,2.41,0.0,3.93,2.05,3.9,1.0,618843785.0
2015-06-30,3.87,1,5.93,3.81,4.45,549026945.0,3.87,0.0,5.93,3.81,4.45,1.0,549026945.0
2015-03-31,4.47,1,6.17,3.62,6.0,643356515.0,4.47,0.0,6.17,3.62,6.0,1.0,643356515.0
2014-12-31,5.94,1,8.0,5.08,7.97,848999982.0,5.94,0.0,8.0,5.08,7.97,1.0,848999982.0
