,accountspayable,accountsreceivable,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,intangibleassets,longterminvestments,netinventory,netppe,othercurrentassets,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
"(2018, 'Q3')",1908660.0,518920.0,6472162.0,,48233559.0,127938.0,236249.0,117023.0,69505.0,12235551.0,58898.0,12311.0,1174786.0,,230013.0,-31494311.0,,19950632.0,16739248.0,7349498.0,2036598.0,16739248.0,16739248.0,3211384.0,19950632.0,365583.0,1174786.0,0.0
"(2018, 'Q2')",3027331.0,298797.0,11698531.0,,46621978.0,77447.0,231701.0,,74979.0,12283207.0,42549.0,32861.0,1809847.0,,182307.0,-26691671.0,,24844932.0,19930307.0,12297163.0,3104778.0,19930307.0,19930307.0,4914625.0,24844932.0,264562.0,1809847.0,0.0
"(2018, 'Q1')",3802416.0,304620.0,5442036.0,0.0,32220669.0,36636.0,214239.0,,79282.0,10169136.0,50319.0,181004.0,1730542.0,,198372.0,-21151255.0,,16639008.0,11069414.0,6074629.0,3839052.0,11069414.0,11069414.0,5569594.0,16639008.0,395243.0,1730542.0,0.0
2017,1336368.0,0.0,9631520.0,,31518964.0,14500.0,206527.0,,188476.0,7853814.0,42808.0,10715.0,1730542.0,,158457.0,-16508057.0,,18092317.0,15010907.0,10021261.0,1350868.0,15010907.0,15010907.0,3081410.0,18092317.0,217242.0,1730542.0,0.0
"(2017, 'Q3')",1271794.0,,9425699.0,0.0,24011686.0,30500.0,117854.0,,49534.0,688162.0,688651.0,10715.0,0.0,,125714.0,-14207651.0,,11106329.0,9804035.0,10289598.0,1302294.0,9804035.0,9804035.0,1302294.0,11106329.0,128569.0,,0.0
"(2017, 'Q2')",918370.0,29000.0,5001466.0,0.0,16720247.0,29000.0,107771.0,,43185.0,625580.0,,20715.0,396828.0,,93249.0,-12143479.0,,5920966.0,4576768.0,5166900.0,947370.0,4576768.0,4576768.0,1344198.0,5920966.0,128486.0,396828.0,0.0
"(2017, 'Q1')",837116.0,,3054308.0,0.0,10050963.0,,83607.0,,43544.0,214393.0,,130715.0,1479945.0,,93699.0,-8747758.0,,3620266.0,1303205.0,3191551.0,837116.0,1303205.0,1303205.0,2317061.0,3620266.0,214322.0,1479945.0,0.0
2016,543646.0,,4155444.0,0.0,9351177.0,0.0,71233.0,,43544.0,206985.0,0.0,10715.0,1322729.0,,54818.0,-6674813.0,,4542739.0,2676364.0,4253806.0,543646.0,2676364.0,2676364.0,1866375.0,4542739.0,81948.0,1322729.0,0.0
"(2016, 'Q3')",367290.0,,2730105.0,0.0,6563561.0,,60649.0,,43544.0,182910.0,,10715.0,313709.0,,59461.0,-4157176.0,0.0,3087384.0,2406385.0,2833110.0,367290.0,2406385.0,2406385.0,680999.0,3087384.0,71364.0,313709.0,0.0
"(2016, 'Q2')",509617.0,,2483489.0,0.0,5563427.0,,46566.0,,0.0,192062.0,,60970.0,185715.0,,67887.0,-3407785.0,0.0,2850974.0,2155642.0,2551376.0,509617.0,2155642.0,2155642.0,695332.0,2850974.0,107536.0,185715.0,0.0
"(2016, 'Q1')",377887.0,,3414421.0,0.0,5482004.0,,44916.0,,0.0,181068.0,,18815.0,191129.0,,54622.0,-2337178.0,0.0,3713842.0,3144826.0,3469043.0,377887.0,3144826.0,3144826.0,569016.0,3713842.0,63731.0,191129.0,0.0
2015,122514.0,,4329496.0,0.0,5453729.0,,31077.0,,0.0,81641.0,,10715.0,205144.0,,59812.0,-1268646.0,0.0,4512741.0,4185083.0,4389308.0,122514.0,4185083.0,4185083.0,327658.0,4512741.0,41792.0,205144.0,0.0
"(2015, 'Q3')",58439.0,,687739.0,0.0,565363.0,,26966.0,,30521.0,65512.0,,2715.0,0.0,,19000.0,-446349.0,655000.0,832453.0,119014.0,737260.0,713439.0,119014.0,119014.0,713439.0,832453.0,29681.0,,0.0
2013,,,9100.0,,9000.0,,,,,,,,,306.0,,-206.0,,9100.0,8794.0,9100.0,,8794.0,8794.0,306.0,9100.0,,306.0,
