year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q3,-0.079479,-5510829.0,-19.376491,10150063.0,0.1991,9771727.0,-15282556.0,-708189.0,-6589185.0,-4875416.0,317763.0,-4557653.0,811496.0,-1159262.0,5312900.0,5312900.0,0.0,0.0,-6589185.0,16739248.0,0.7679,0.757,,,,,,,,,,,,,,,,-1.248082,-1.361156,-1.679302,-1.326667,-0.833333,-1.283706,-4.539424,25.828171,-0.360238,0.153836,0.133648,0.006739,0.133163,0.185185,0.139712,-0.075881,0.233034,-0.083964,-16.025052,-19.376491,-17.142331,-16.886445,1.083964,8.586228,10.706299,19.292527,1.0,0.985073,0.0,0.0675,,13.9677,0.1622,0.5228,0.0,26.1316,698.1786,-672.0469,-0.6033,1.17,1.1526,0.0,0.0,-3.858827,0.088441,-3.947268,2.381583,-1.477243,-5.482752,-1.15732,-1.140044,0.0,-1.477243,0.0,0.0,-5.361538,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.6087,3.4327,-1.105781,5.067796,5.067796,-3857580.3,-13.563544,-16.886445
2018,Q2,1.794736,-5548218.0,-12.480442,8231776.0,0.2749,8656474.0,-14204692.0,-7802.0,-11698531.0,-5627523.0,241270.0,-5386253.0,1922489.0,-2506146.0,9192385.0,9192385.0,0.0,0.0,-11698531.0,19930307.0,0.9722,0.9609,,,,,,,,,,,,,,,,-0.592991,-0.657138,-1.067389,-0.631588,-0.285714,-3.774608,-4.491152,20.382658,0.477215,-0.199063,-0.189933,-0.173164,-0.193233,-0.125,-2.015974,-0.173189,0.462808,0.25805,-12.11611,-12.480442,-12.658835,-12.462892,0.74195,4.926081,7.812412,12.738492,1.0,0.984521,0.0,0.0697,6.5463,8.8532,0.1662,0.2651,55.7571,41.228,1376.6749,-1279.6898,-0.6814,1.2554,1.236,0.0,0.0,-3.430356,0.000934,-3.43129,2.338204,-1.092152,-2.951129,-0.882921,-0.869255,0.0,-1.092152,0.0,0.0,-2.630681,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.9607,3.8642,-2.335816,8.567625,8.567625,-3883752.6,-8.73631,-12.462892
2018,Q1,,-4729276.0,-15.715013,5627378.0,0.4063,7378481.0,-12107757.0,-86078.0,-5442036.0,-4729276.0,237225.0,-4492051.0,2548632.0,-3206459.0,2235577.0,2235577.0,0.0,0.0,-5442036.0,11069414.0,0.5735,0.5624,,,,,,,,,,,,,,,,-1.181878,-1.28133,-1.46854,-1.239904,-0.846154,-0.571418,-26.87808,4.213619,15.298744,-1.930769,-2.000109,-0.432138,-1.94731,-2.0,-0.105337,-0.191624,0.0461,0.357915,-14.926733,-15.715013,-15.715013,-15.428983,0.642085,6.089659,9.983269,16.072928,1.0,0.981799,0.0,0.0777,,3.1464,0.1517,0.0833,0.0,116.0061,4381.923,-4265.9168,-0.6867,1.6374,1.6076,0.0,0.0,-6.384772,0.020262,-6.405035,4.398372,-1.986401,-3.580798,-1.22162,-1.199385,0.0,-1.986401,0.0,0.0,-0.657957,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.5823,1.4969,-4.072025,2.839059,2.839059,-3310493.2,-11.000509,-15.428983
2017,Q4,1.078794,-3302249.0,-178.847974,5379387.0,0.2495,6858467.0,-10160716.0,-1726847.0,-9631520.0,-1576368.0,43647.0,-1532721.0,3928553.0,-961127.0,8670393.0,8670393.0,0.0,0.0,-9631520.0,15010907.0,0.8882,0.876,,,,,,,,,,,,,,,,0.388202,0.373916,-0.726773,0.374254,0.529412,-0.378733,,4.636982,-0.940239,0.243979,0.236568,-0.605516,0.236787,0.333333,0.203704,-2.682925,13.218544,1.0,-83.011319,-178.847974,-85.375217,-85.322899,0.0,80.461059,99.386915,179.847974,1.0,0.999387,0.0,0.043,,,0.1207,,0.0,0.0,0.0,0.0,-0.7795,1.2797,1.279,0.0,0.0,-44.616398,0.250504,-44.866902,34.973081,-9.643317,-3.126199,-3.669945,-3.667696,0.0,-9.643317,0.0,0.0,-0.386169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,7.4184,7.1299,-1.975611,17.822126,17.822126,-2311574.3,-125.193582,-85.322899
2017,Q3,0.318477,-2056815.0,-6.657135,378336.0,8.5579,702056.0,-2758871.0,7357.0,-9425699.0,-2064843.0,37491.0,-2027352.0,98122.0,-438395.0,8987304.0,8987304.0,0.0,0.0,-9425699.0,9804035.0,0.57,0.5632,,,,,,,,,,,,,,,,-1.745308,-1.75424,-2.305703,-1.754466,-1.0,-2.758318,,2.168714,0.942339,0.400408,0.391965,0.233585,0.392126,0.428571,-0.798627,-0.066505,1.890835,1.0,-6.561774,-6.657135,-6.683118,-6.680947,0.0,3.895732,3.761403,7.657135,1.0,0.999675,0.0,0.0329,,,0.5366,,0.0,0.0,0.0,0.0,-0.9955,1.1624,1.162,0.0,0.0,-56.970818,-0.00121,-56.969607,56.714788,-0.25603,,-0.220074,-0.220002,0.0,-0.25603,0.0,0.0,-19.41642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,7.9011,7.2378,-1.875904,38.456914,38.456914,-1439770.5,-4.659994,-6.680947
2017,Q2,,-2683684.0,-16.8713,-424698.0,-0.4227,-96851.0,-2586833.0,712037.0,-5001466.0,-3395930.0,14711.0,-3381219.0,424136.0,-781936.0,4219530.0,4219530.0,0.0,0.0,-5001466.0,4576768.0,0.2825,0.2759,,,,,,,,,,,,,,,,-2.183447,-2.170924,-1.493266,-2.171772,-1.625,-0.164699,,-0.295415,,-0.642325,-0.638144,-0.400802,-0.638114,-0.615385,0.007383,-4.956177,0.757468,1.0,-21.256437,-16.8713,-21.34892,-21.347606,0.0,12.992984,4.878316,17.8713,1.0,0.999938,0.0,0.0363,,,0.3891,,0.0,0.0,0.0,0.0,-1.1118,1.3029,1.3029,0.0,0.0,,-0.190258,,,-2.595116,,-0.774271,-0.774223,0.0,-2.595116,0.0,0.0,-2.497406,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,5.4539,5.3099,-4.915734,26.52658,26.52658,-1878578.8,-11.80991,-21.347606
2017,Q1,,-1915819.0,,-1751103.0,,-1481508.0,-434311.0,157126.0,-3054308.0,-2073035.0,14235.0,-2058800.0,20293.0,-699873.0,2354435.0,2354435.0,0.0,0.0,-3054308.0,1303205.0,0.082,0.0767,,,,,,,,,,,,,,,,-0.935938,-0.939177,-0.768922,-0.939993,-0.444444,-0.340189,,-5.49531,,0.178213,0.176656,-0.001797,0.176631,0.235294,0.030198,,-0.183914,,,,,,,,,,1.0,0.999957,0.0,,,,,,,,,,-1.4543,1.6488,1.6488,0.0,0.0,,-0.04858,,,-2.882435,,,,0.0,-2.882435,0.0,0.0,-52.585571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.8126,3.6486,,,,-1341073.3,,
2016,Q4,,-1912382.0,,-1479080.0,,,,605255.0,-4155444.0,-2517823.0,12552.0,-2505271.0,35500.0,-445284.0,3710160.0,3710160.0,0.0,0.0,-4155444.0,2676364.0,0.1982,0.193,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-2.392474,-2.358459,-2.073571,-2.359577,-1.833333,-1.170639,,-3.56901,,,,,,,,,,1.0,0.999926,0.0,,,,,,,,,,-1.5526,1.3198,1.3197,0.0,0.0,,-0.145654,,,-1.57581,,,,0.0,-1.57581,0.0,0.0,-30.99569,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,7.8246,7.6437,,,,-1338667.4,,
2016,Q3,,-622202.0,-2.655193,-323720.0,,,,127189.0,-2730105.0,-749696.0,11217.0,-738479.0,1265.0,-264285.0,2465820.0,2465820.0,0.0,0.0,-2730105.0,2406385.0,0.1925,0.1877,,,,,,,,,,,,,,,,,,,,,,,,,0.304716,0.299977,0.421946,0.300032,0.25,0.442607,,0.012588,1.0,-3.151395,-2.655193,-3.199263,-3.197961,0.0,2.051589,1.603604,3.655193,1.0,0.999593,0.0,,,,,,,,,,-1.1345,1.5522,1.5515,0.0,0.0,,-0.046588,,,,,,,,,,,-400.729644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,7.7136,7.4331,,,,-435541.4,-1.858635,-3.197961
2016,Q2,,-1076373.0,,-327847.0,,,,-5766.0,-2483489.0,-1070959.0,8834.0,-1062125.0,19450.0,-441730.0,2041759.0,2041759.0,0.0,0.0,-2483489.0,2155642.0,0.1609,0.1574,,,,,,,,,,,,,,,,,-5.816402,-5.850861,-5.814162,-1.666667,,,,,0.001259,-0.001806,0.006159,-0.001942,0.111111,-0.142179,,-0.216072,,,,,,,,,,1.0,0.999671,0.0,,,,,,,,,,-1.1521,1.3226,1.3221,0.0,0.0,,0.002322,,,-1.417439,,,,0.0,-1.417439,,,-46.75856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0065,4.8732,,,,-753461.1,,
