year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,purchaseofplantpropertyandequipment
2018,Q3,-8873.0,4325.0,,,313438.0,-1338187.0,-58133.0,-55133.0,-820369.0,-4350867.0,-55133.0,-820369.0,-4350867.0,-5226369.0,-4802640.0,-4802640.0,1472197.0,3000.0,-811496.0
2018,Q2,-21623.0,4161.0,,199.0,237109.0,-1316564.0,13258063.0,13258063.0,-1944112.0,-5057456.0,13258063.0,-1944112.0,-5057456.0,6256495.0,-5540416.0,-5540416.0,1558254.0,,-1922489.0
2018,Q1,-11627.0,3915.0,0.0,0.0,233310.0,2131203.0,,47665.0,-2560259.0,-1676890.0,47665.0,-2560259.0,-1676890.0,-4189484.0,-4643198.0,-4643198.0,597880.0,47665.0,-2548632.0
2017,Q4,-9045.0,2145.0,,,41502.0,787290.0,5543744.0,5660504.0,-3937598.0,-1517085.0,5660504.0,-3937598.0,-1517085.0,205821.0,-1575402.0,-1575402.0,-772620.0,116760.0,-3928553.0
2017,Q3,-12034.0,1951.0,,,35540.0,-591513.0,6384567.0,6439567.0,-110156.0,-1905178.0,6439567.0,-110156.0,-1905178.0,4424233.0,-2064172.0,-2064172.0,713016.0,55000.0,-98122.0
2017,Q2,-25926.0,1762.0,,,12949.0,-251880.0,3456460.0,3456460.0,-450062.0,-1062570.0,3456460.0,-450062.0,-1059240.0,1947158.0,-3395721.0,-3395721.0,2570320.0,,-424136.0
2017,Q1,-13724.0,1350.0,0.0,0.0,12885.0,447917.0,,,-34017.0,-1063789.0,0.0,-34017.0,-1067119.0,-1101136.0,-2072945.0,-2072945.0,547004.0,0.0,-20293.0
2016,Q4,-11711.0,1127.0,,,11425.0,136028.0,2562897.0,2572897.0,-47211.0,-1100347.0,2572897.0,-47211.0,-1100347.0,1425339.0,-2517637.0,-2517637.0,1268710.0,10000.0,-35500.0
2016,Q3,-14883.0,800.0,,,10417.0,-190785.0,769687.0,769687.0,-16148.0,-506923.0,769687.0,-16148.0,-506923.0,246616.0,-749391.0,-749391.0,422036.0,,-1265.0
2016,Q2,-2028.0,378.0,,,8456.0,76310.0,,,-21478.0,-909454.0,,-21478.0,-909454.0,-930932.0,-1070607.0,-1070607.0,76009.0,,-19450.0
2016,Q1,-14873.0,1034.0,0.0,0.0,4530.0,215013.0,,,-118830.0,-796245.0,,-118830.0,-796245.0,-915075.0,-1068532.0,-1068532.0,51710.0,,-103957.0
