,accountspayable,accountsreceivable,accruedexpenses,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,longtermdebt,longterminvestments,netppe,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
2016,216246.0,54658.0,1720027.0,524391.0,74755.0,0.0,19452896.0,,14963861.0,68513.0,197211.0,0.0,2093996.0,97000.0,0.0,14260.0,61447.0,-38419416.0,15843.0,,567844.0,-18966520.0,205120.0,4046112.0,-18966520.0,-18966520.0,19534364.0,567844.0,165513.0,15488252.0
"(2016, 'Q3')",217993.0,68649.0,1494343.0,175473.0,354093.0,0.0,19452896.0,2084621.0,0.0,68410.0,703901.0,,18750.0,97000.0,0.0,876764.0,61401.0,-36198739.0,14984881.0,,2230218.0,-16745843.0,1360907.0,18800588.0,-16745843.0,-16745843.0,18976061.0,2230218.0,165410.0,175473.0
"(2016, 'Q2')",146884.0,41493.0,1271112.0,171454.0,889494.0,0.0,19452896.0,2110509.0,5333.0,68308.0,677147.0,,28125.0,97000.0,0.0,741317.0,61354.0,-35594874.0,14984674.0,,2576113.0,-16141978.0,1733658.0,18541304.0,-16141978.0,-16141978.0,18718091.0,2576113.0,165308.0,176787.0
"(2016, 'Q1')",162475.0,36311.0,1052880.0,167527.0,1406018.0,0.0,19452896.0,2134458.0,10614.0,68205.0,660205.0,,37500.0,97000.0,0.0,636341.0,61309.0,-35037431.0,14984470.0,,2965389.0,-15584535.0,2139979.0,18371783.0,-15584535.0,-15584535.0,18549924.0,2965389.0,165205.0,178141.0
2015,321237.0,40240.0,821577.0,163648.0,2365612.0,0.0,19452896.0,,14979704.0,68102.0,576915.0,433459.0,2281273.0,97000.0,9375.0,10368.0,61263.0,-34397158.0,20407.0,,3652959.0,-14944262.0,2910942.0,3444494.0,-14944262.0,-14944262.0,18597221.0,3652959.0,165102.0,15152727.0
"(2015, 'Q3')",164032.0,89941.0,595275.0,159859.0,3093305.0,0.0,19452896.0,2439793.0,14984881.0,,342749.0,,37500.0,97000.0,18750.0,309657.0,129217.0,-33811324.0,20207.0,,4061869.0,-14358428.0,3622120.0,3256807.0,-14358428.0,-14358428.0,18420297.0,4061869.0,97000.0,15163490.0
"(2015, 'Q2')",422528.0,52996.0,371432.0,156198.0,4139348.0,0.0,19447025.0,2603964.0,14990007.0,,624686.0,,37500.0,97000.0,28125.0,250556.0,61171.0,-32851031.0,20009.0,,5225757.0,-13404006.0,4504071.0,3455433.0,-13404006.0,-13404006.0,18629763.0,5225757.0,97000.0,15174330.0
"(2015, 'Q1')",212822.0,79559.0,150048.0,152659.0,4696248.0,0.0,19441635.0,2767549.0,14995084.0,,910244.0,,37500.0,97000.0,37500.0,170794.0,61125.0,-31799639.0,19812.0,,6014970.0,-12358004.0,5007726.0,3187731.0,-12358004.0,-12358004.0,18372974.0,6014970.0,97000.0,15185243.0
2014,624435.0,117174.0,617649.0,149124.0,646814.0,0.0,19441635.0,812114.0,11847274.0,0.0,1029632.0,,37500.0,97000.0,46875.0,609512.0,25094.0,-31070998.0,19618.0,,2525226.0,-11629363.0,1398594.0,2111316.0,-11629363.0,-11629363.0,14154589.0,2525226.0,97000.0,12043273.0
"(2014, 'Q3')",412573.0,140797.0,439027.0,145671.0,1551705.0,0.0,19441635.0,1395000.0,11852252.0,,975489.0,25062.0,37500.0,97000.0,56250.0,504693.0,,-30504587.0,19425.0,,3294746.0,-11062952.0,2222257.0,2303525.0,-11062952.0,-11062952.0,14357698.0,3294746.0,97000.0,12054173.0
