year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2016,Q4,-6.781628,-1995078.0,,-4191531.0,,-1752403.0,-242675.0,225599.0,14774989.0,-1995078.0,22465.0,-1972613.0,181910.0,-3961351.0,-3825149.0,-3840992.0,14979704.0,14963861.0,14774989.0,-3986816.0,-0.3501,-0.3501,,,,,,,,,,,,,,,,-4.849962,-4.535825,-4.535825,-2.790625,-3.0,0.281644,-1.147581,-0.718455,-6.210609,-4.500167,-4.241763,-4.241763,-2.677439,-3.0,0.462268,0.658977,-0.867163,,,,,,,,,,1.0,1.113078,0.0,,,,,5.3381,,,68.3762,,-0.8045,-0.1245,-0.1385,-0.789,-0.7898,,0.016539,,,0.237226,,,,0.0,0.237226,0.0,0.0,-1.329663,-0.003974,-3.753336,-3.75731,0.0,0.0,4.75731,-4.9335,-4.866,-4.9282,-4.791,-4.7255,-4.786,,-8.8361,-8.8361,-9.6417,-9.6417,-1.0713,-1.8769,-1.0748,0.0507,0.032,,,,-1226923.6,,
2016,Q3,11.481536,-380612.0,-4.050744,-2244866.0,-0.1332,330996.0,-711608.0,223253.0,14500977.0,-380612.0,21966.0,-358646.0,45050.0,-2870294.0,-2454800.0,-17439681.0,14984881.0,0.0,14500977.0,-1760962.0,-0.3091,-0.3091,,,,,,,,,,,,,,,,0.49572,0.482887,0.482887,0.371166,0.5,-0.269041,-1.648774,0.128499,0.563463,-0.141178,-0.129748,-0.129748,-0.083277,0.0,-0.0434,0.064021,-0.033963,-0.904854,-3.816967,-4.050744,-4.050744,-6.426762,1.904854,3.103117,0.0,3.14589,1.0,1.586563,0.0,0.102,4.0481,,0.6134,3.1429,90.1652,0.0,116.1348,-25.9696,-0.845,-0.2023,-0.3209,0.0,-0.8948,,0.016988,,,0.15351,,-0.413304,-0.655733,0.0,0.15351,0.0,0.0,-9.98475,-8.509486,0.0,-8.509486,0.0,0.0,9.509486,-10.6963,-10.3509,0.0,-10.0439,-9.7196,0.0,,-1.7019,-1.7019,-1.9034,-1.9034,-2.0114,-2.2128,-3.182,0.0724,0.0225,-8.941837,-7.647447,-54.329901,-266428.4,-2.835521,-6.426762
2016,Q2,6.682219,-336900.0,-5.605844,-2171127.0,-0.0984,423382.0,-760282.0,220543.0,13970851.0,-336900.0,22623.0,-314277.0,46872.0,-2773820.0,-1822972.0,-16807646.0,14990007.0,5333.0,13970851.0,-1151971.0,-0.2979,-0.2979,,,,,,,,,,,,,,,,0.609362,0.593828,0.593828,0.469805,0.5,-0.137211,-1.589575,0.163184,-0.269379,0.195844,0.186287,0.186287,0.129367,0.0,0.415599,-0.951813,-0.021715,-0.610952,-5.229409,-5.605844,-5.605844,-9.275567,1.610952,4.929548,0.0,4.994892,0.995446,1.662194,0.0,0.0601,4.9649,,0.3604,1.779,73.5165,0.0,205.1658,-131.6493,-0.8387,-0.2641,-0.4389,-0.0003,-0.9286,,0.0178,,,0.185734,,-0.337079,-0.557739,0.0,0.185734,0.0,0.0,-9.197453,-13.007857,-0.004629,-13.012486,0.0,0.0,14.012486,-8.5486,-7.9674,-0.003,-8.1143,-7.5626,-0.0029,,-1.5062,-1.5062,-1.7158,-1.7158,-1.9274,-2.137,-3.3991,0.0935,0.0502,-11.82548,-7.77178,-71.655146,-235830.0,-3.924091,-9.317997
2016,Q1,-0.118333,-414028.0,-5.033408,-2124983.0,-0.0863,-24502.0,-389526.0,226245.0,13459552.0,-414028.0,23212.0,-390816.0,98044.0,-2714661.0,-1247334.0,-16231804.0,14995084.0,10614.0,13459552.0,-589451.0,-0.2876,-0.2876,,,,,,,,,,,,,,,,0.20401,0.200494,0.200494,0.121278,0.0,-1.933137,-1.430313,-0.011665,-0.028637,-0.159,-0.14882,-0.14882,-0.092926,0.0,-1.190846,-1.236887,0.128794,-1.255057,-4.751216,-5.033408,-5.033408,-7.783906,2.255057,3.731193,0.0,3.778351,1.0,1.546449,0.0,0.0406,3.1464,,0.2321,2.6719,116.0048,0.0,136.6083,-20.6035,-0.8488,-0.3214,-0.497,-0.0007,-0.9622,,0.019079,,,0.231746,,-0.204341,-0.316004,0.0,0.231746,0.0,0.0,-7.52401,-25.421061,-0.018007,-25.439068,0.0,0.0,26.439068,-6.6831,-5.9987,-0.0047,-6.4084,-5.7522,-0.0045,,-1.8262,-1.8262,-2.2586,-2.2586,-3.2538,-3.6862,-1.7181,0.1165,0.0785,-14.892154,-6.842656,-89.04483,-289819.6,-3.523386,-7.783906
2015,Q4,-0.233816,-360394.0,-4.255902,-2439128.0,-0.1346,-2004749.0,1644355.0,225440.0,12505134.0,-360394.0,23193.0,-337201.0,773802.0,-2940020.0,-513145.0,-533552.0,15000111.0,14979704.0,12505134.0,55849.0,-0.2758,-0.2758,,,,,,,,,,,,,,,,0.063029,0.069684,0.069684,-0.034291,0.5,0.031374,2.3105,-4.615207,10.248804,0.525873,0.510356,0.510356,0.389942,0.5,0.050046,0.499161,0.053083,-0.641974,-3.982015,-4.255902,-4.255902,-6.918128,1.641974,3.569183,0.0,3.613928,0.997956,1.628867,0.0,0.0626,2.4563,,0.2407,1.0211,148.5975,0.0,357.4686,-208.8711,-0.8919,-0.2325,-0.3787,-1.0024,-1.0037,,0.019024,,,0.250335,,-0.266352,-0.432965,0.0,0.250335,0.0,0.0,-0.43514,0.365396,268.217945,268.583341,0.0,0.0,-267.583341,-6.3996,-5.3352,-6.3909,-6.1382,-5.1172,-6.1298,,-1.5902,-1.5902,-5.0044,-5.0044,-1.4857,-4.8999,7.2554,0.8451,0.6985,-15.20742,-2.654271,-2.759828,-252275.8,-2.979131,-6.932299
2015,Q3,-0.845883,-736032.0,-97.772582,-2575862.0,-0.1321,-1832882.0,1096850.0,224261.0,11782566.0,-736032.0,24828.0,-711204.0,445072.0,-2837002.0,385520.0,365313.0,15005088.0,14984881.0,11782566.0,646660.0,-0.265,-0.265,,,,,,,,,,,,,,,,0.105264,0.105467,0.105467,0.039521,0.0,-0.68531,-0.169148,-2.466933,-0.037709,0.115992,0.112628,0.112628,0.086646,0.0,0.06499,-0.149427,0.007187,-10.311769,-94.474495,-97.772582,-97.772582,-127.562832,11.311769,39.978613,0.0,87.460813,1.0,1.304689,0.0,0.0596,1.8997,,0.3325,1.9808,192.1325,0.0,184.2711,7.8614,-0.8694,-0.2894,-0.3776,-1.0436,-1.045,,0.020293,,,0.260154,,-5.825727,-7.600764,0.0,0.260154,0.0,0.0,-0.79639,0.031248,23.172735,23.203984,0.0,0.0,-22.203984,-6.3404,-4.9787,-6.3318,-6.0731,-4.7689,-6.065,,-3.282,-3.282,-5.2666,-5.2666,-1.5805,-3.5651,4.891,1.1122,0.9774,-12.944299,1.759,1.666802,-267572.9,-35.54369,-127.562832
2015,Q2,-0.930639,-829451.0,-106.027227,-2594509.0,-0.1697,-2118993.0,1289542.0,221941.0,10809497.0,-829451.0,24929.0,-804522.0,-74.0,-3131872.0,1068647.0,1048638.0,15010016.0,14990007.0,10809497.0,1606010.0,-0.2474,-0.2474,,,,,,,,,,,,,,,,-0.367425,-0.346706,-0.346706,-0.329187,-1.0,-0.14431,-0.054575,-4.456197,-0.916149,-0.638601,-0.601705,-0.601705,-0.442949,-1.0,-0.507308,0.42457,-0.235198,-10.719545,-102.840598,-106.027227,-106.027227,-134.397546,11.719545,39.939537,0.0,95.307682,1.0,1.267576,0.0,0.0559,3.027,,0.3093,1.6001,120.581,0.0,228.1126,-107.5317,-0.8692,-0.397,-0.5032,-1.1183,-1.1198,,0.021762,,,0.285186,,-5.929342,-7.51589,0.0,0.285186,0.0,0.0,,0.012459,9.333695,9.346154,0.0,0.0,-8.346154,-6.1259,-4.4116,-6.1177,-5.869,-4.2266,-5.8612,,-3.7373,-3.7373,-3.7369,-3.7369,-1.7081,-1.7077,5.8103,1.3035,1.2133,-12.023095,4.102481,4.025667,-279891.5,-35.778026,-134.397546
2015,Q1,-0.388932,-517855.0,-5.550667,-2100481.0,-0.2631,-1423070.0,905215.0,210786.0,10257523.0,-517855.0,26874.0,-490981.0,79263.0,-2917566.0,1839807.0,1819995.0,15014896.0,14995084.0,10257523.0,2656892.0,-0.2281,-0.2281,,,,,,,,,,,,,,,,-0.06758,-0.067652,-0.067652,-0.124758,0.0,0.686572,-0.394789,-2.100748,-0.155868,-0.364276,-0.336783,-0.336783,-0.286417,0.5,0.276505,0.822425,-3.835595,-0.789112,-5.262616,-5.550667,-5.550667,-7.809992,1.789112,3.485991,0.0,4.761555,1.0,1.407037,0.0,0.0689,3.654,,0.347,2.9133,99.8896,0.0,125.2885,-25.3989,-0.8746,-0.4785,-0.6732,-1.2134,-1.215,,0.021752,,,0.278519,,-0.382644,-0.538394,0.0,0.278519,0.0,0.0,-3.172981,0.007457,5.643844,5.651301,0.0,0.0,-4.651301,-6.7208,-4.5914,-6.7119,-6.4058,-4.3761,-6.3973,,-2.4568,-2.4568,-2.8328,-2.8328,-1.1932,-1.5692,4.2945,1.5709,1.4982,-7.983467,5.034347,4.980134,-281669.5,-3.019095,-7.809992
2014,Q4,-0.527191,-387389.0,-3.505053,-434379.0,55.3888,-884098.0,496709.0,179022.0,11194984.0,-387389.0,27505.0,-359884.0,-39805.0,-1365012.0,-693104.0,-712722.0,11866892.0,11847274.0,11194984.0,237529.0,-0.2199,-0.2199,,,,,,,,,,,,,,,,0.702219,0.685264,0.685264,0.590815,0.333333,-0.348679,1.548444,-1.96589,1.262683,0.547245,0.529188,0.529188,0.433479,0.0,-0.652821,-0.623748,0.415356,-1.056667,-3.256191,-3.505053,-3.505053,-5.124825,2.056667,2.417144,0.0,2.448386,1.0,1.462125,0.0,0.1716,3.3715,,0.3585,1.1083,108.2614,0.0,329.3239,-221.0625,-1.0007,-0.2378,-0.3477,-1.0187,-1.0204,-194.140649,0.017182,-194.157832,194.300869,0.160219,,-0.601383,-0.879297,0.0,0.160219,0.0,0.0,,0.082592,49.877169,49.959761,0.0,0.0,-48.959761,-5.3867,-5.0817,-5.3778,-5.1346,-4.8439,-5.1261,,-2.1639,-2.1639,-1.9416,-1.9416,-1.9418,-1.7194,2.7746,0.6624,0.3619,-3.213063,-1.631478,-1.677656,-271172.3,-2.453537,-5.124825
2014,Q3,-0.750119,-822811.0,-16.845003,-742980.0,1.6684,-2142962.0,1320151.0,176995.0,10319972.0,-822811.0,27935.0,-794876.0,512649.0,-1613548.0,-61843.0,-81268.0,11871677.0,11852252.0,10319972.0,808725.0,-0.2042,-0.2042,,,,,,,,,,,,,,,,-1.861129,-1.790637,-1.790637,-1.196753,-1.0,0.188397,3.122177,-1.530707,-0.566914,-0.35103,-0.335925,-0.335925,-0.263971,-1.0,0.365137,-0.032134,-0.562471,-2.10095,-16.273103,-16.845003,-16.845003,-20.468534,3.10095,6.772141,0.0,14.744053,1.0,1.21511,0.0,0.1658,2.9592,,0.3669,2.1231,123.3436,0.0,171.9171,-48.5735,-1.0348,-0.3499,-0.4252,-1.0713,-1.0731,-28.103994,0.018105,-28.122099,29.099957,0.995963,,-2.792921,-3.393706,0.0,0.995963,0.0,0.0,-0.410257,0.024019,14.655479,14.679498,0.0,0.0,-13.679498,-3.8902,-3.3817,-3.8838,-3.7633,-3.2714,-3.7571,,-4.6488,-4.6488,-7.5452,-7.5452,-1.1883,-4.0847,7.4587,0.9647,0.7347,-2.944071,-0.112838,-0.148281,-305726.4,-6.258985,-20.468534
