year,period,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,saleofinvestments,saleofplantpropertyandequipment
2016,Q4,22465.0,,165280.0,,,-14552.0,-22907.0,-241879.0,-14552.0,-22907.0,-241879.0,-279338.0,-2220677.0,-2220677.0,1791053.0,,159141.0,,-181910.0,-14552.0,-138.0,
2016,Q3,21966.0,,78007.0,,,-14501.0,-71087.0,-449813.0,-14501.0,-71087.0,-449813.0,-535401.0,-603865.0,-603865.0,54079.0,,-26037.0,,-45050.0,-14501.0,,
2016,Q2,22623.0,,100048.0,,,-14452.0,-70969.0,-431103.0,-14452.0,-70969.0,-431103.0,-516524.0,-557443.0,-557443.0,3669.0,,-24097.0,,-46872.0,-14452.0,,
2016,Q1,23212.0,,-123182.0,,0.0,-14402.0,-207508.0,-737684.0,-14402.0,-207508.0,-737684.0,-959594.0,-640273.0,-640273.0,2559.0,,-170727.0,,-98044.0,-14402.0,61263.0,
2015,Q4,23193.0,,224735.0,,,-14352.0,-376629.0,-336712.0,-14352.0,-376629.0,-336712.0,-727693.0,-585834.0,-585834.0,1194.0,,397173.0,,-773802.0,-14352.0,,
2015,Q3,24828.0,,116933.0,,,-14303.0,-677289.0,-354451.0,-14303.0,-677289.0,-354451.0,-1046043.0,-960293.0,-960293.0,464081.0,,-207092.0,,-445072.0,-14303.0,-25125.0,
2015,Q2,24929.0,,130798.0,,,-14255.0,-163557.0,-379088.0,-14255.0,-163557.0,-379088.0,-556900.0,-1051392.0,-1051392.0,516577.0,,-188756.0,,74.0,-14255.0,25125.0,
2015,Q1,26874.0,,271365.0,,2475000.0,2460793.0,1840141.0,-251500.0,2460793.0,1840141.0,-251500.0,4049434.0,-728641.0,-728641.0,178902.0,,1919404.0,,-79263.0,-14207.0,0.0,
2014,Q4,27505.0,,117720.0,,,-14160.0,-543113.0,-347618.0,-14160.0,-543113.0,-347618.0,-904891.0,-566411.0,-566411.0,73568.0,,-582918.0,,39805.0,-14160.0,,
2014,Q3,27935.0,,197156.0,,,-14113.0,-512649.0,-210318.0,-14113.0,-512649.0,-210318.0,-737080.0,-999806.0,-999806.0,564397.0,,,,-512649.0,-14113.0,,
2014,Q2,27563.0,,136004.0,,,-14066.0,-123328.0,-331281.0,-14066.0,-123328.0,-331281.0,-468675.0,-791004.0,-791004.0,296156.0,,,,-123328.0,-14066.0,,
2014,Q1,25140.0,,-184076.0,,1705000.0,1688272.0,1330968.0,-802416.0,1688272.0,1330968.0,-802416.0,2216824.0,-647820.0,-647820.0,4340.0,,1385000.0,,-54032.0,-16728.0,,
2013,Q4,22286.0,,281954.0,,,-17971.0,-144025.0,-257747.0,-17971.0,-144025.0,-257747.0,-419743.0,-1384242.0,-1384242.0,822255.0,,,-15000.0,-129025.0,-17971.0,,
2013,Q3,17028.0,,104636.0,,1000000.0,986704.0,-2896.0,-259139.0,986704.0,-2896.0,-259139.0,724669.0,-455130.0,-455130.0,74327.0,,,,-2896.0,-13296.0,,
2013,Q2,16722.0,,42911.0,,500000.0,486779.0,-39821.0,-269200.0,486779.0,-39821.0,-269200.0,177758.0,-408377.0,-408377.0,79544.0,,,,-40008.0,-13221.0,,187.0
2013,Q1,16212.0,,9845.0,300000.0,1000000.0,396226.0,-16487.0,-396143.0,396226.0,-16487.0,-396143.0,-16404.0,-484187.0,-484187.0,61987.0,,,,-16487.0,-903774.0,,
2012,Q4,18235.0,,388090.0,,200000.0,-3701.0,-87117.0,6157.0,-3701.0,-87117.0,6157.0,-84661.0,-693826.0,-693826.0,293658.0,,,,-87117.0,-203701.0,,
2012,Q3,27493.0,,896.0,,200000.0,191343.0,102104.0,-222351.0,191343.0,102104.0,-222351.0,71096.0,-259760.0,-259760.0,9020.0,,,,-34446.0,-8657.0,,136550.0
2012,Q2,25492.0,,64588.0,,400000.0,388900.0,-52377.0,-350744.0,388900.0,-52377.0,-350744.0,-14221.0,-506138.0,-506138.0,65314.0,,,,-52377.0,-11100.0,,
2012,Q1,25502.0,,-690281.0,0.0,1000000.0,988968.0,-25781.0,-1079786.0,988968.0,-25781.0,-1079786.0,-116599.0,5303988.0,5303988.0,-5718995.0,,,,-25781.0,-11032.0,,
2011,Q4,41331.0,,876525.0,,,-10966.0,-1322518.0,435208.0,-10966.0,-1322518.0,435208.0,-898276.0,-291320.0,-291320.0,-191328.0,,,,-1322518.0,-10966.0,,
2011,Q3,0.0,1500000.0,0.0,,-21874.0,-32775.0,1421552.0,-271760.0,-32775.0,1421552.0,-271760.0,1117017.0,405049.0,405049.0,-676809.0,,,,-78448.0,-10901.0,,
