year,period,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,employeebenefitassets,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
2018,Q2,5518000000.0,8534000000.0,4059000000.0,21209000000.0,-28290000000.0,10741000000.0,,54827000000.0,11752000000.0,,2780000000.0,3686000000.0,5375000000.0,36482000000.0,32233000000.0,3344000000.0,37851000000.0,2518000000.0,1742000000.0,11024000000.0,128000000.0,3718000000.0,4689000000.0,15963000000.0,8783000000.0,19806000000.0,2344000000.0,,2613000000.0,10000000000.0,2443000000.0,219000000.0,157349000000.0,7646000000.0,966000000.0,121622000000.0,18520000000.0,46795000000.0,35442000000.0,18520000000.0,18648000000.0,102974000000.0,121622000000.0,63804000000.0,67532000000.0,-165366000000.0
2018,Q1,5736000000.0,8984000000.0,4754000000.0,21497000000.0,-28583000000.0,11949000000.0,,54712000000.0,13059000000.0,,2918000000.0,3289000000.0,5129000000.0,36732000000.0,32775000000.0,3521000000.0,40410000000.0,2942000000.0,1753000000.0,11278000000.0,124000000.0,3852000000.0,5111000000.0,16750000000.0,8856000000.0,20245000000.0,2413000000.0,,2593000000.0,10250000000.0,2573000000.0,313000000.0,156371000000.0,5977000000.0,893000000.0,125285000000.0,18166000000.0,49122000000.0,35733000000.0,18166000000.0,18290000000.0,106995000000.0,125285000000.0,64884000000.0,71262000000.0,-164334000000.0
2017,Q4TTM,6451000000.0,9909000000.0,4510000000.0,21215000000.0,-26592000000.0,11972000000.0,,54566000000.0,11552000000.0,,4219000000.0,3644000000.0,4643000000.0,36788000000.0,32331000000.0,3742000000.0,39837000000.0,2783000000.0,1583000000.0,11116000000.0,131000000.0,3746000000.0,4862000000.0,16720000000.0,9550000000.0,21721000000.0,1820000000.0,,2136000000.0,9965000000.0,1860000000.0,262000000.0,153126000000.0,6987000000.0,608000000.0,125356000000.0,17593000000.0,49735000000.0,37363000000.0,17594000000.0,17725000000.0,107631000000.0,125356000000.0,64504000000.0,70268000000.0,-163507000000.0
2017,Q3,5442000000.0,9076000000.0,4352000000.0,20880000000.0,-27521000000.0,10915000000.0,,54395000000.0,10649000000.0,,3038000000.0,3918000000.0,4521000000.0,36782000000.0,31937000000.0,3981000000.0,41327000000.0,4806000000.0,1711000000.0,11057000000.0,130000000.0,3579000000.0,7289000000.0,17554000000.0,8459000000.0,18050000000.0,,,,7723000000.0,4389000000.0,,155565000000.0,4299000000.0,600000000.0,121636000000.0,19627000000.0,44742000000.0,31697000000.0,19627000000.0,19757000000.0,101879000000.0,121636000000.0,65838000000.0,70183000000.0,-162812000000.0
2017,Q2,5126000000.0,9395000000.0,4594000000.0,20388000000.0,-28189000000.0,11696000000.0,,54235000000.0,11541000000.0,,2779000000.0,3865000000.0,4015000000.0,36517000000.0,31291000000.0,4179000000.0,37612000000.0,4759000000.0,1604000000.0,10903000000.0,125000000.0,3617000000.0,6812000000.0,17320000000.0,8296000000.0,17563000000.0,,,,7437000000.0,4155000000.0,,154234000000.0,8061000000.0,599000000.0,120495000000.0,18420000000.0,45013000000.0,35966000000.0,18419000000.0,18544000000.0,101951000000.0,120495000000.0,64578000000.0,65986000000.0,-161860000000.0
2017,Q1,5324000000.0,9507000000.0,4522000000.0,19816000000.0,-28710000000.0,10096000000.0,,54104000000.0,12351000000.0,,2747000000.0,3197000000.0,3491000000.0,36307000000.0,30681000000.0,4436000000.0,34441000000.0,4549000000.0,1609000000.0,10865000000.0,121000000.0,3557000000.0,6457000000.0,16967000000.0,8502000000.0,16362000000.0,,,,7601000000.0,4715000000.0,,153292000000.0,8340000000.0,599000000.0,117495000000.0,18327000000.0,42889000000.0,36481000000.0,18327000000.0,18448000000.0,99047000000.0,117495000000.0,63742000000.0,62566000000.0,-160359000000.0
2016,Q4TTM,6209000000.0,10239000000.0,4705000000.0,19303000000.0,-29398000000.0,7826000000.0,0.0,53935000000.0,11035000000.0,,3235000000.0,3577000000.0,3034000000.0,36199000000.0,30133000000.0,4688000000.0,34655000000.0,4585000000.0,1553000000.0,10830000000.0,146000000.0,3600000000.0,5224000000.0,17070000000.0,9021000000.0,19006000000.0,,,,7477000000.0,4564000000.0,,152759000000.0,7513000000.0,701000000.0,117470000000.0,18246000000.0,43888000000.0,36275000000.0,18246000000.0,18392000000.0,99078000000.0,117470000000.0,62751000000.0,62802000000.0,-159050000000.0
2016,Q3,5271000000.0,9164000000.0,5346000000.0,19738000000.0,-28164000000.0,9039000000.0,,53759000000.0,10815000000.0,,2137000000.0,3958000000.0,3487000000.0,36401000000.0,30842000000.0,4881000000.0,35563000000.0,5075000000.0,1730000000.0,11104000000.0,149000000.0,3611000000.0,4289000000.0,16688000000.0,8936000000.0,16032000000.0,,,,8138000000.0,4539000000.0,,149585000000.0,6920000000.0,929000000.0,115606000000.0,17010000000.0,41433000000.0,34447000000.0,17010000000.0,17159000000.0,98447000000.0,115606000000.0,63069000000.0,64000000000.0,-158170000000.0
2016,Q2,5484000000.0,9912000000.0,5480000000.0,19044000000.0,-28604000000.0,10017000000.0,,53565000000.0,11508000000.0,,2275000000.0,3950000000.0,2957000000.0,36422000000.0,30136000000.0,5148000000.0,39638000000.0,5259000000.0,1685000000.0,11092000000.0,156000000.0,3837000000.0,4387000000.0,16723000000.0,9267000000.0,16635000000.0,,,,8385000000.0,4676000000.0,,148071000000.0,4887000000.0,600000000.0,118056000000.0,15734000000.0,43524000000.0,33585000000.0,15733000000.0,15889000000.0,102167000000.0,118056000000.0,63440000000.0,68583000000.0,-157298000000.0
2016,Q1,5302000000.0,10084000000.0,,18717000000.0,-28998000000.0,14354000000.0,,53439000000.0,12609000000.0,,2203000000.0,3444000000.0,2332000000.0,34322000000.0,29627000000.0,4373000000.0,40254000000.0,,1689000000.0,10910000000.0,147000000.0,3662000000.0,4809000000.0,16939000000.0,9266000000.0,16646000000.0,,5804000000.0,5223000000.0,8264000000.0,4334000000.0,,146888000000.0,5303000000.0,515000000.0,118856000000.0,14925000000.0,47623000000.0,34664000000.0,14925000000.0,15072000000.0,103784000000.0,118856000000.0,60325000000.0,69119000000.0,-156404000000.0
