year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q2TTM,0.029691,6087721799.9,0.075371,49703000000.0,1.6677,2543000000.0,3544721799.8999996,332721799.9,31055000000.0,12113000000.0,4555000000.0,16668000000.0,3101000000.0,7073000000.0,18999000000.0,11353000000.0,45497000000.0,37851000000.0,31053000000.0,64145000000.0,20.1436,-23.1738,128439985258.2,159620985258.2,6.9352,,1.5902,22.318,0.04345,0.044807,3.2115,1.9762,9.5765,13.1777,26.2202,9.8538,45.0306,-0.030084,-0.047346,-0.493187,-0.496721,-0.481266,0.043952,-0.622531,0.053923,0.008919,0.021824,0.030367,0.012891,0.012848,0.021311,-0.067469,0.037912,0.023117,0.455119,0.206364,0.149969,0.149969,0.071252,0.544881,0.251938,0.054637,0.30515,0.50284,0.944853,0.497422,0.6672,9.01,26.306,7.3672,8.2694,40.5106,13.8751,44.1384,10.2474,1.6044,6.5099,6.1509,2.0298,2.4398,0.125698,0.011152,0.114546,0.183778,0.309475,0.07319,0.100059,0.047539,0.006776,0.307378,0.973241,1.560904,5.223799,0.119199,0.590085,0.709284,0.0,0.001995,0.288721,2.7296,1.863,2.2709,7.4736,5.1009,6.2176,3.6644,18.0522,9.0726,13.4307,4.4512,24.1416,19.5201,5.2827,1.3203,1.1299,0.08757,0.235223,0.14056,6087721799.9,0.075371,0.141699
2018,Q1TTM,0.008376,6010244420.4,0.075076,48580000000.0,1.6931,2595000000.0,3415244420.3999996,328244420.4,30290000000.0,11756000000.0,4556000000.0,16312000000.0,2854000000.0,6211000000.0,19366000000.0,13389000000.0,46387000000.0,40410000000.0,30290000000.0,64677000000.0,19.6302,-23.8673,141985569458.6,172399569458.6,7.816,,1.7736,24.9887,0.039536,0.040018,3.5488,2.1535,10.5689,14.6648,28.6843,9.9246,50.4794,-0.083441,-0.118807,-0.506716,-0.51051,-0.497529,0.120059,-0.714448,0.056431,0.011587,-0.014678,-0.021475,-0.009538,-0.012341,-0.006515,0.038687,-0.256768,-0.007011,0.456293,0.203757,0.146847,0.146847,0.070975,0.543707,0.256383,0.054587,0.309446,0.511339,0.945219,0.488751,0.6595,8.6589,25.8935,7.2308,7.8711,42.1531,14.0962,46.3724,9.8769,1.574,6.6084,6.2464,2.2094,2.5362,0.127114,0.011353,0.115761,0.182212,0.309325,0.072231,0.096845,0.046808,0.006669,0.307263,0.979761,1.652763,6.086545,0.092413,0.624797,0.71721,0.0,0.001917,0.280873,2.8437,1.8569,2.4773,7.718,5.0397,6.7235,3.6205,18.2264,9.3182,13.8016,4.8934,26.9318,22.507,5.295,1.3747,1.1774,0.077583,0.241906,0.167245,6010244420.4,0.075076,0.138803
2017,Q4TTM,-0.009772,6068123859.6,0.076677,48923000000.0,1.6423,1473000000.0,4595123859.6,315123859.6,31198000000.0,12014000000.0,4541000000.0,16555000000.0,2769000000.0,6517000000.0,19359000000.0,12372000000.0,46824000000.0,39837000000.0,31199000000.0,64549000000.0,18.7682,-24.4691,143813702587.5,175143702587.5,8.1745,,1.8172,24.998,0.039275,0.040003,3.58,2.2131,10.5795,14.5783,28.8629,10.4726,38.1151,-0.045381,-0.073065,-0.514123,-0.515414,-0.504039,-0.021072,-0.2303,0.031043,0.009851,-0.028747,-0.040875,-0.489872,-0.491245,-0.486192,0.117168,-0.381901,-0.002792,0.457752,0.209189,0.151809,0.151809,0.072695,0.542248,0.254072,0.0546,0.305943,0.504649,0.948893,0.494912,0.6518,7.8558,27.368,7.2122,6.7793,46.4627,13.3368,53.8403,5.9591,1.6684,6.7233,6.3797,2.2475,2.6417,0.12593,0.01046,0.11547,0.192646,0.318576,0.095361,0.098952,0.047384,0.007697,0.316124,0.957066,1.711455,6.039726,0.108243,0.617159,0.725402,0.0,0.002029,0.272553,2.8284,1.8846,2.4063,7.7164,5.1415,6.565,3.5779,19.535,9.8669,15.0325,5.3644,27.1935,22.6911,7.4717,1.3311,1.1833,0.082349,0.24462,0.156333,6068123859.6,0.076677,0.14405
2017,Q3TTM,-0.022953,11895284995.0,0.151789,49060000000.0,1.6735,4461000000.0,7434284995.0,587284995.0,29303000000.0,12526000000.0,4519000000.0,17045000000.0,2719000000.0,5829000000.0,17344000000.0,13045000000.0,45626000000.0,41327000000.0,29305000000.0,65383000000.0,21.0313,-22.6483,135392635399.3,164827635399.3,6.8983,,1.7277,11.9732,0.041236,0.08352,3.3597,2.1033,9.6701,13.1588,13.8566,11.0105,22.1713,-0.013999,-0.039638,-0.041069,-0.044448,-0.023693,-0.1965,-0.344866,0.100025,-0.000943,-0.008147,-0.014864,-0.009697,-0.011106,-0.004996,-0.035252,-0.20834,0.040288,0.467097,0.217502,0.159838,0.159838,0.144295,0.532903,0.251177,0.051731,0.307259,0.948976,0.951301,0.050352,0.6607,8.5929,24.2732,7.0725,7.7965,42.4771,15.0372,46.8158,10.6984,1.5371,6.4265,6.1136,2.0918,2.3094,0.254013,0.0207,0.233313,0.358621,0.612634,0.158752,0.105597,0.095329,0.007558,0.608004,0.481783,0.883622,5.505701,0.065751,0.632076,0.697827,0.0,0.001988,0.300185,2.6768,1.7193,2.4246,3.8356,2.4636,3.4742,3.7007,20.602,19.5646,16.1299,15.0926,24.6217,20.1497,12.2274,1.4116,1.2191,0.074381,0.221318,0.16646,11895284995.0,0.151789,0.152054
2017,Q2TTM,-0.022676,12011759947.2,0.153131,47160000000.0,1.7108,2621000000.0,9390759947.2,576759947.2,28616000000.0,12715000000.0,4470000000.0,17185000000.0,2778000000.0,4813000000.0,17108000000.0,9047000000.0,45673000000.0,37612000000.0,28619000000.0,64217000000.0,19.6048,-23.7089,144533247184.6,173277247184.6,7.8465,,1.8426,12.6395,0.038624,0.079117,3.6742,2.209,10.0831,13.6278,14.4256,11.1669,18.4519,-0.01315,-0.04835,-0.036327,-0.041572,-0.02119,-0.172383,-0.195277,0.058847,-0.011966,-0.034388,-0.046923,-0.014149,-0.014904,-0.010708,0.000516,-0.214829,0.025552,0.469385,0.219082,0.162096,0.162096,0.145778,0.530615,0.252011,0.049579,0.307288,0.943949,0.952733,0.055308,0.6576,8.1257,25.3098,7.1326,7.8458,44.9195,14.4213,46.5217,12.8191,1.6631,6.928,6.6005,2.0283,2.463,0.261982,0.020143,0.241839,0.402206,0.664188,0.204817,0.106602,0.09587,0.008103,0.658807,0.47136,0.860691,5.585673,0.125528,0.585702,0.711229,0.0,0.001947,0.28684,2.6577,1.6653,2.1887,3.8024,2.3826,3.1313,3.7319,21.2625,20.0866,16.6171,15.4411,25.9482,21.3027,15.7036,1.2515,1.0914,0.061358,0.2181,0.115335,12011759947.2,0.153131,0.154435
2017,Q1TTM,-0.017876,12184150707.5,0.15347,45985000000.0,1.7307,224000000.0,11960150707.5,576150707.5,27537000000.0,13341000000.0,4456000000.0,17797000000.0,2998000000.0,4053000000.0,14748000000.0,6408000000.0,42781000000.0,34441000000.0,27537000000.0,61229000000.0,19.3356,-23.6497,165056197087.0,192714197087.0,9.0062,,2.079,14.2192,0.033849,0.070328,4.1908,2.4274,10.8285,14.4453,15.8168,12.426,16.113,-0.032561,-0.078978,-0.093121,-0.098478,-0.077508,-0.191186,0.197421,0.004895,-0.006619,0.026237,0.029319,-0.024411,-0.022237,-0.019386,-0.092192,1.003368,-0.030875,0.473026,0.224169,0.168042,0.168042,0.146213,0.526974,0.252976,0.049351,0.304984,0.912579,0.953452,0.086714,0.6718,8.1048,25.3711,7.2919,7.8745,45.0348,14.3864,46.3524,13.0688,1.7371,7.051,6.7228,1.8669,2.319,0.265606,0.01979,0.245816,0.426995,0.692601,0.260723,0.112891,0.098227,0.007995,0.687064,0.458908,0.791092,5.173115,0.13621,0.562495,0.698705,0.0,0.001976,0.299319,2.4038,1.5473,1.9352,3.5112,2.2601,2.8267,3.9422,21.5874,19.7155,16.7362,14.8643,25.0955,20.2443,19.353,1.1757,1.0023,0.051051,0.185764,0.080714,12184150707.5,0.15347,0.16022
2016,Q4TTM,-0.02229,12489021978.9,0.156269,47450000000.0,1.8085,6519000000.0,5970021978.9,617021978.9,29058000000.0,12961000000.0,4381000000.0,17342000000.0,3143000000.0,6599000000.0,15126000000.0,7613000000.0,42168000000.0,34655000000.0,29056000000.0,60560000000.0,19.0317,-23.616,159136952961.0,188338952961.0,8.7217,,1.9912,13.4044,0.034771,0.074602,3.9692,2.3566,10.8603,14.5312,15.0804,11.0243,31.5474,-0.144408,-0.210369,-0.092175,-0.099924,-0.077496,-0.00991,-0.650612,0.159268,-0.003591,0.003182,-0.006287,0.006795,0.003211,0.011438,-0.083034,-0.473902,0.063925,0.479167,0.216992,0.162175,0.162175,0.148549,0.520833,0.263626,0.051552,0.316992,0.962855,0.951315,0.036415,0.7012,8.0838,26.8202,7.4148,6.8031,45.1523,13.6091,53.6517,5.1097,1.6932,6.9468,6.6086,1.8842,2.2927,0.282618,0.022209,0.260409,0.440932,0.723549,0.135097,0.11371,0.104156,0.009416,0.716736,0.442722,0.737702,5.435571,0.124059,0.572242,0.696301,0.0,0.002411,0.301288,2.4316,1.6755,1.9983,3.3764,2.3265,2.7748,3.9065,20.573,19.8238,15.5841,14.835,27.1175,22.1286,9.4762,1.2099,1.0413,0.08257,0.189264,0.095258,12489021978.9,0.156269,0.154279
2016,Q3TTM,-0.042841,12404736681.4,0.154657,44599000000.0,1.82,1057000000.0,11347736681.4,570736681.4,27440000000.0,13043000000.0,4244000000.0,17287000000.0,3213000000.0,3938000000.0,13906000000.0,6986000000.0,42483000000.0,35563000000.0,27440000000.0,59642000000.0,17.7684,-25.3542,152069850563.4,179658850563.4,8.94,,1.8959,12.8502,0.035995,0.07782,4.0283,2.2399,10.3927,13.7744,14.4831,9.643,15.8321,-0.225215,-0.29118,-0.161248,-0.167206,-0.145848,0.047391,-0.478829,0.024275,-0.00066,-0.007293,-0.023801,-0.0048,-0.00813,-0.002445,-0.006294,-0.027578,0.001347,0.483842,0.215527,0.162615,0.162615,0.147541,0.516158,0.264949,0.054596,0.321227,0.950904,0.954152,0.048935,0.7153,8.8716,24.7756,7.3704,7.9333,41.1426,14.7322,46.0085,9.8663,1.8796,7.3264,6.9905,2.0726,2.4758,0.281475,0.019841,0.261634,0.491762,0.773237,0.257491,0.116323,0.105541,0.009964,0.765532,0.438398,0.725283,5.798631,0.116026,0.596274,0.7123,0.0,0.002498,0.285202,2.4575,1.5873,2.0572,3.4247,2.2121,2.8669,3.8769,21.7383,20.6746,16.3833,15.3196,31.0517,25.6967,18.9129,1.2028,1.0208,0.049097,0.173374,0.087099,12404736681.4,0.154657,0.155159
2016,Q2TTM,-0.076558,12464561743.3,0.1553,44539000000.0,1.8183,795000000.0,11669561743.3,533561743.3,28650000000.0,13361000000.0,4053000000.0,17414000000.0,3323000000.0,4209000000.0,14826000000.0,9939000000.0,44525000000.0,39638000000.0,28649000000.0,60414000000.0,16.3811,-26.8985,145784690000.0,174589690000.0,9.2656,,1.8164,12.219,0.037294,0.08184,3.9199,2.1753,10.0258,13.0671,14.0069,9.3119,14.9611,-0.251429,-0.302261,-0.184598,0.0579,0.082011,0.07401,-0.547768,0.018174,-0.007113,-0.053381,-0.077598,-0.07225,-0.073392,-0.067629,-0.022216,0.168328,-0.026704,0.48878,0.216967,0.166469,0.166469,0.148653,0.51122,0.264761,0.057425,0.322311,0.931891,0.958237,0.067094,0.6955,7.668,22.814,7.3654,7.1814,47.6004,15.9989,50.8257,12.7737,1.9699,7.7637,7.4395,2.4947,2.8023,0.282377,0.018224,0.264154,0.520354,0.802732,0.264367,0.115787,0.103395,0.010395,0.794387,0.429218,0.771268,5.642191,0.080892,0.656106,0.736998,0.0,0.002582,0.260436,2.5569,1.6452,2.2762,3.5721,2.2984,3.1801,3.7665,23.9016,22.298,17.9571,16.3534,33.5403,27.5957,20.8758,1.2959,1.1066,0.052441,0.184722,0.123833,12464561743.3,0.1553,0.159517
2016,Q1TTM,-0.103297,13435257189.9,0.166204,45761000000.0,1.8356,3447000000.0,9988257189.9,559257189.9,30689000000.0,14485000000.0,3911000000.0,18396000000.0,3226000000.0,3393000000.0,18262000000.0,12959000000.0,45557000000.0,40254000000.0,30688000000.0,60629000000.0,15.4759,-24.6474,146058380000.0,176893380000.0,9.7862,,1.8068,11.3435,0.037018,0.088157,3.8656,2.1883,9.6159,12.2122,13.1664,9.2252,17.7101,-0.252499,-0.286137,-0.161478,0.076049,0.100334,0.117945,-0.596019,0.081462,-0.011084,-0.092407,-0.117522,-0.023393,-0.023806,-0.019374,0.111272,-0.41545,0.118003,0.493815,0.227572,0.17919,0.17919,0.159285,0.506185,0.260775,0.057907,0.314625,0.921162,0.964998,0.072471,0.7002,7.4744,22.3657,7.5481,7.0451,48.8331,16.3197,51.809,13.3438,2.219,8.4388,8.1434,2.6708,3.0226,0.305087,0.018423,0.286664,0.636107,0.941194,0.226813,0.125469,0.111532,0.010782,0.931046,0.392902,0.733302,5.943893,0.087466,0.66394,0.751406,0.0,0.002425,0.246169,2.4765,1.6682,2.1882,3.3909,2.2841,2.9961,3.7877,28.57,26.4995,22.2071,20.1366,37.8205,31.4576,19.7007,1.3738,1.2001,0.041974,0.225914,0.160312,13435257189.9,0.166204,0.172918
