year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q2TTM,-654000000.0,1426000000.0,1597000000.0,1208000000.0,3129000000.0,-29000000.0,937000000.0,5433000000.0,175000000.0,7286000000.0,-9102000000.0,-8129000000.0,16199000000.0,,-9103000000.0,-8130000000.0,16199000000.0,-98000000.0,5754000000.0,5754000000.0,,457000000.0,-189000000.0,-2963000000.0,-1000000.0,-5601000000.0,-5418000000.0,-3605000000.0,-7391000000.0,-3382000000.0,4036000000.0,504000000.0
2018,Q1TTM,-662000000.0,1470000000.0,1597000000.0,1208000000.0,3086000000.0,,937000000.0,6576000000.0,175000000.0,9920000000.0,-7192000000.0,-9162000000.0,17370000000.0,,-7193000000.0,-9163000000.0,17371000000.0,1951000000.0,5682000000.0,5682000000.0,,556000000.0,-196000000.0,-4220000000.0,,-5567000000.0,-5165000000.0,-3359000000.0,-7700000000.0,-3824000000.0,3739000000.0,505000000.0
2017,Q4TTM,-701000000.0,1520000000.0,1597000000.0,1208000000.0,3021000000.0,,937000000.0,5882000000.0,175000000.0,10263000000.0,-6417000000.0,-7096000000.0,16724000000.0,,-6418000000.0,-7096000000.0,16724000000.0,4146000000.0,5753000000.0,5753000000.0,,548000000.0,-193000000.0,-2572000000.0,,-5506000000.0,-4964000000.0,-3229000000.0,-6816000000.0,-4340000000.0,3910000000.0,460000000.0
2017,Q3TTM,-1130000000.0,1557000000.0,1078000000.0,1158000000.0,2962000000.0,,669000000.0,-1441000000.0,175000000.0,10145000000.0,-6797000000.0,-6962000000.0,14969000000.0,,-6797000000.0,-6965000000.0,14970000000.0,1877000000.0,11308000000.0,11308000000.0,,583000000.0,-164000000.0,-2416000000.0,,-5448000000.0,-5666000000.0,-3246000000.0,-6961000000.0,-4544000000.0,4969000000.0,527000000.0
2017,Q2TTM,-897000000.0,1576000000.0,1078000000.0,1158000000.0,2894000000.0,-6000000.0,-165000000.0,-905000000.0,89000000.0,6827000000.0,-8227000000.0,-6003000000.0,15518000000.0,,-8226000000.0,-6003000000.0,15517000000.0,1123000000.0,11436000000.0,11436000000.0,,517000000.0,-161000000.0,-1981000000.0,,-5390000000.0,-5888000000.0,-3166000000.0,-5140000000.0,-4452000000.0,5547000000.0,388000000.0
2017,Q1TTM,-3653000000.0,1587000000.0,1078000000.0,1158000000.0,2869000000.0,-47000000.0,-268000000.0,-998000000.0,145000000.0,4014000000.0,-10858000000.0,-8787000000.0,15509000000.0,,-10857000000.0,-8787000000.0,15509000000.0,-4404000000.0,11608000000.0,11608000000.0,,443000000.0,-149000000.0,-1397000000.0,,-5327000000.0,-6196000000.0,-3351000000.0,-5685000000.0,-3856000000.0,5504000000.0,353000000.0
2016,Q4TTM,-6133000000.0,1544000000.0,1078000000.0,1158000000.0,2837000000.0,,-51000000.0,225000000.0,204000000.0,9158000000.0,-5917000000.0,-10975000000.0,17084000000.0,,-5917000000.0,-10976000000.0,17084000000.0,140000000.0,11872000000.0,11872000000.0,,606000000.0,-126000000.0,-1474000000.0,,-5256000000.0,-5917000000.0,-3567000000.0,-6395000000.0,-3502000000.0,5692000000.0,424000000.0
2016,Q3TTM,-7886000000.0,1457000000.0,2657000000.0,995000000.0,2787000000.0,35000000.0,-124000000.0,2033000000.0,217000000.0,9228000000.0,-6214000000.0,-12736000000.0,18633000000.0,,-6214000000.0,-12734000000.0,18631000000.0,-442000000.0,11834000000.0,11834000000.0,,522000000.0,-363000000.0,-897000000.0,,-5188000000.0,-4993000000.0,-3503000000.0,-6713000000.0,-3395000000.0,4218000000.0,290000000.0
2016,Q2TTM,-8447000000.0,1344000000.0,2657000000.0,995000000.0,2709000000.0,-46000000.0,-123000000.0,1765000000.0,216000000.0,10962000000.0,-3877000000.0,-13126000000.0,18751000000.0,,-3877000000.0,-13126000000.0,18749000000.0,1623000000.0,11931000000.0,11931000000.0,,1002000000.0,-360000000.0,-973000000.0,,-5121000000.0,-3743000000.0,-3683000000.0,-5493000000.0,-4081000000.0,3406000000.0,360000000.0
2016,Q1TTM,-6079000000.0,1242000000.0,2657000000.0,995000000.0,2669000000.0,28000000.0,193000000.0,1543000000.0,220000000.0,11436000000.0,-3204000000.0,-10606000000.0,19176000000.0,,-3205000000.0,-10605000000.0,19175000000.0,5559000000.0,12876000000.0,12876000000.0,,846000000.0,-275000000.0,-1229000000.0,,-5059000000.0,-3295000000.0,-3678000000.0,-5143000000.0,-4383000000.0,3195000000.0,452000000.0
