date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-15,143.91,1,148.924940549406,136.717329506628,136.796471231379,136973922.0,143.91,1.57,150.54,138.2,138.28,1.0,136973922.0
2018-06-30,138.201236845702,1,158.516873127533,135.975375837092,150.043069909728,301184466.0,139.7,1.57,162.0,137.45,153.34,1.0,301184466.0
2018-03-31,150.131134839243,1,165.765844594087,141.290883664732,149.657120258204,341435108.0,153.43,1.5,171.13,144.3955,154.5,1.0,341435108.0
2017-12-31,148.610973398147,1,155.860548309523,139.268415605352,139.40268719949,302310936.0,153.42,1.5,162.51,145.21,145.35,1.0,302310936.0
2017-09-30,139.143734839367,1,148.077903812007,133.437192088511,145.757439304266,251875399.0,145.08,1.5,156.025,139.13,153.58,1.0,251875399.0
2017-06-30,145.994705613851,1,165.72424449692,142.160482050957,163.365213965035,287339295.0,153.83,1.5,176.33,149.79,173.82,1.0,287339295.0
2017-03-31,163.665966861531,1,171.795693594919,154.170092601045,155.717947649537,227965355.0,174.14,1.4,182.79,165.34,167.0,1.0,227965355.0
2016-12-31,154.776180421238,1,158.470518796013,136.573505769321,146.064066052499,224130545.0,165.99,1.4,169.952,147.79,158.06,1.0,224130545.0
2016-09-30,146.794109151205,1,152.477356058853,137.355123255478,139.434873320779,209563072.0,158.85,1.4,165.0,149.92,152.19,1.0,209563072.0
2016-06-30,139.059235643786,1,142.449136631281,129.427561843108,136.597309676784,246795273.0,151.78,1.4,155.48,142.5,150.51,1.0,246795273.0
2016-03-31,137.45041891269,1,138.94789789061,106.007152501237,121.818388806506,338605903.0,151.45,1.3,153.1,116.901,135.6,1.0,338605903.0
2015-12-31,123.633087518815,1,136.300344834351,118.269844294812,129.32543966176,303694383.0,137.62,1.3,153.147,131.65,145.31,1.0,303694383.0
2015-09-30,129.022840738871,1,153.388032515419,125.151354519556,144.72917304381,269318007.0,144.97,1.3,173.78,140.62,163.97,1.0,269318007.0
2015-06-30,143.572893134757,1,154.431725438627,138.743284130596,140.355050295129,232582807.0,162.66,1.3,176.3,158.39,160.23,1.0,232582807.0
2015-03-31,140.591559460576,1,144.839964839915,130.060639112261,140.316223215615,299950324.0,160.5,1.1,165.35,149.52,161.31,1.0,299950324.0
2014-12-31,139.559449833943,1,164.922925857269,130.91309648472,164.076236835633,327905720.0,160.44,1.1,190.89,150.5,189.91,1.0,327905720.0
2014-09-30,164.007119364479,1,168.685627579448,156.059972154713,156.059972154713,215073159.0,189.83,1.1,196.4,181.7,181.7,1.0,215073159.0
2014-06-30,155.690650261337,1,170.110610490143,153.972874013074,164.910200782372,266967100.0,181.27,1.1,199.21,179.27,193.12,1.0,266967100.0
2014-03-31,164.372227364327,1,167.053555193949,146.242142551377,158.99873109381,329528100.0,192.49,0.95,195.63,172.19,187.21,1.0,329528100.0
2013-12-31,159.304481551552,1,159.491329053505,145.791943455705,156.580395202413,329945100.0,187.57,0.95,187.79,172.57,185.34,1.0,329945100.0
2013-09-30,156.445222745132,1,168.90871657162,152.998325084477,161.519905888508,232644900.0,185.18,0.95,200.94,181.1,192.15,1.0,232644900.0
2013-06-30,160.645689379926,1,179.801029547982,157.034097564174,178.052301585977,279565200.0,191.11,0.95,214.89,187.68,212.8,1.0,279565200.0
