year,period,allowanceforloanandleaselosses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,intangibleassets,interestbearingdeposits,loansandleases,longtermdebt,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherlongtermliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
2018,Q1,67154000.0,-68350000.0,254622000.0,,268460000.0,282532000.0,,5415555000.0,6453103000.0,992016000.0,6385949000.0,511696000.0,3439357000.0,179529000.0,133473000.0,1923411000.0,258953000.0,12070612000.0,1831258000.0,1831258000.0,1831258000.0,10239354000.0,12070612000.0,,4456284000.0,-292263000.0
2017,Q4TTM,67687000.0,-28397000.0,265357000.0,,267835000.0,282532000.0,,5301637000.0,6348172000.0,1355641000.0,6280485000.0,514454000.0,3243255000.0,115985000.0,91380000.0,1891805000.0,353805000.0,12184698000.0,1838980000.0,1838980000.0,1838980000.0,10345718000.0,12184698000.0,,4725885000.0,-292263000.0
2017,Q3,67852000.0,-6539000.0,290575000.0,,267361000.0,282532000.0,,5368712000.0,6202264000.0,1227916000.0,6134412000.0,516786000.0,3244829000.0,111691000.0,138977000.0,1846570000.0,378033000.0,12173651000.0,1815184000.0,1815184000.0,1815184000.0,10358467000.0,12173651000.0,,4837655000.0,-292208000.0
2017,Q2,64919000.0,-6907000.0,316921000.0,,267053000.0,282532000.0,,5423493000.0,6205846000.0,1046916000.0,6140927000.0,522003000.0,3282441000.0,119378000.0,125269000.0,1828743000.0,360411000.0,12035222000.0,1796692000.0,1796692000.0,1796692000.0,10238530000.0,12035222000.0,,4653461000.0,-292197000.0
2017,Q1,64186000.0,-13931000.0,297805000.0,,266489000.0,282532000.0,,5508950000.0,6009503000.0,923416000.0,5945317000.0,524652000.0,3355368000.0,121687000.0,119788000.0,1788174000.0,309777000.0,11965858000.0,1748559000.0,1748559000.0,1748559000.0,10217299000.0,11965858000.0,,4793865000.0,-292173000.0
2016,Q4TTM,64661000.0,-26697000.0,269198000.0,,265477000.0,282532000.0,25000.0,5452038000.0,5964688000.0,893791000.0,5900027000.0,527583000.0,3158051000.0,127765000.0,70509000.0,1777963000.0,504985000.0,11804041000.0,1724667000.0,1724667000.0,1724667000.0,10079374000.0,11804041000.0,,4696911000.0,-292076000.0
2016,Q3,63970000.0,31935000.0,248897000.0,,264927000.0,282532000.0,57000.0,5337172000.0,5886662000.0,788416000.0,5822692000.0,510649000.0,3209143000.0,136047000.0,122499000.0,1742491000.0,732899000.0,11937413000.0,1747284000.0,1747284000.0,1747284000.0,10190129000.0,11937413000.0,,4936539000.0,-292069000.0
2016,Q2,62033000.0,40977000.0,245351000.0,,264568000.0,282532000.0,89000.0,5325395000.0,5951597000.0,713541000.0,5889564000.0,511485000.0,3099467000.0,141657000.0,102674000.0,1727148000.0,794939000.0,11776640000.0,1740624000.0,1740624000.0,1740624000.0,10036016000.0,11776640000.0,,4705962000.0,-292069000.0
2016,Q1,61784000.0,30662000.0,258470000.0,,264243000.0,282532000.0,121000.0,5437086000.0,5935574000.0,661066000.0,5873790000.0,515477000.0,3176647000.0,141018000.0,119331000.0,1697461000.0,784262000.0,11878689000.0,1700297000.0,1700297000.0,1700297000.0,10178392000.0,11878689000.0,,4807281000.0,-292069000.0
2015,Q4TTM,66988000.0,2167000.0,273053000.0,,263846000.0,282532000.0,153000.0,5386635000.0,5950914000.0,667166000.0,5883926000.0,516716000.0,3149618000.0,145926000.0,76175000.0,1683600000.0,827772000.0,11772869000.0,1665503000.0,1665503000.0,1665503000.0,10107366000.0,11772869000.0,,4670563000.0,-284110000.0
2015,Q3,65260000.0,26161000.0,241682000.0,,263424000.0,282532000.0,356000.0,5377514000.0,5922972000.0,964966000.0,5857712000.0,521499000.0,3089266000.0,144267000.0,131822000.0,1648630000.0,831012000.0,12052217000.0,1657637000.0,1657637000.0,1657637000.0,10394580000.0,12052217000.0,,5004169000.0,-280578000.0
2015,Q2,60538000.0,8525000.0,260392000.0,,262531000.0,282532000.0,517000.0,5458620000.0,5774462000.0,995741000.0,5713924000.0,525100000.0,3005214000.0,158274000.0,79096000.0,1635868000.0,907211000.0,12074129000.0,1628247000.0,1628247000.0,1628247000.0,10445882000.0,12074129000.0,,5133390000.0,-278677000.0
2015,Q1,66251000.0,33377000.0,278396000.0,,261649000.0,282532000.0,678000.0,5610072000.0,5778742000.0,1116873000.0,5712491000.0,527350000.0,3038850000.0,158210000.0,116861000.0,1601992000.0,873405000.0,12374402000.0,1618341000.0,1618341000.0,1618341000.0,10756061000.0,12374402000.0,,5414745000.0,-278677000.0
2014,Q4TTM,64828000.0,11397000.0,255146000.0,,261304000.0,282532000.0,797000.0,5508372000.0,5679245000.0,1249360000.0,5614417000.0,526423000.0,2930253000.0,162172000.0,69527000.0,1585389000.0,858350000.0,12196520000.0,1580658000.0,1580658000.0,1580658000.0,10615862000.0,12196520000.0,,5355033000.0,-277432000.0
2014,Q3,71727000.0,133000.0,303570000.0,,260862000.0,282532000.0,940000.0,5519779000.0,5660578000.0,1167597000.0,5588851000.0,524384000.0,2894294000.0,170548000.0,90496000.0,1546841000.0,869411000.0,12079187000.0,1537610000.0,1537610000.0,1537610000.0,10541577000.0,12079187000.0,,5208362000.0,-270226000.0
2014,Q2,71537000.0,10415000.0,451695000.0,,260447000.0,282532000.0,1057000.0,5541058000.0,5437515000.0,1539233000.0,5365978000.0,518710000.0,2881581000.0,179142000.0,68415000.0,1531624000.0,870065000.0,12436467000.0,1536115000.0,1536115000.0,1536115000.0,10900352000.0,12436467000.0,,5637353000.0,-266371000.0
2014,Q1,70408000.0,-23696000.0,351287000.0,,259972000.0,282532000.0,2205000.0,5606248000.0,5286500000.0,1328819000.0,5216092000.0,510583000.0,2829995000.0,174457000.0,76037000.0,1493904000.0,837170000.0,12144185000.0,1465916000.0,1465916000.0,1465916000.0,10678269000.0,12144185000.0,,5607029000.0,-264264000.0
2013,Q4TTM,70161000.0,-43774000.0,274785000.0,,259691000.0,282532000.0,3186000.0,5576915000.0,5199235000.0,1414676000.0,5129074000.0,504842000.0,2666510000.0,189516000.0,39587000.0,1467000000.0,957381000.0,12079477000.0,1424408000.0,1424408000.0,1424408000.0,10655069000.0,12079477000.0,,5695542000.0,-258509000.0
2013,Q3,67829000.0,-13677000.0,302514000.0,,259480000.0,282532000.0,4368000.0,5461174000.0,5052161000.0,1480219000.0,4984332000.0,492375000.0,2651632000.0,173085000.0,67145000.0,1428057000.0,1001137000.0,12076658000.0,1415351000.0,1415351000.0,1415351000.0,10661307000.0,12076658000.0,,5837452000.0,-258509000.0
2013,Q2,65051000.0,-15181000.0,238924000.0,0.0,259297000.0,282532000.0,5524000.0,5580003000.0,4911949000.0,943184000.0,4846898000.0,484345000.0,2613721000.0,179837000.0,37640000.0,1411687000.0,1025071000.0,11596913000.0,1397294000.0,1397294000.0,1397294000.0,10199619000.0,11596913000.0,,5558853000.0,-258509000.0
2013,Q1,62968000.0,50071000.0,234959000.0,0.0,259139000.0,282532000.0,6682000.0,5704216000.0,4826509000.0,578219000.0,4763541000.0,480828000.0,2612327000.0,200881000.0,134949000.0,1384173000.0,1055587000.0,11520172000.0,1434874000.0,1434874000.0,1434874000.0,10085298000.0,11520172000.0,,5550749000.0,-258509000.0
2012,Q4TTM,58193000.0,65662000.0,283100000.0,,259012000.0,282532000.0,7819000.0,5821463000.0,4775004000.0,939753000.0,4716811000.0,481287000.0,2465750000.0,210970000.0,90320000.0,1369543000.0,1129679000.0,11882673000.0,1435708000.0,1435708000.0,1435708000.0,10446965000.0,11882673000.0,,5900154000.0,-258509000.0
2012,Q3,72681000.0,83258000.0,260091000.0,0.0,258897000.0,282532000.0,8887000.0,5881676000.0,4883028000.0,805787000.0,4810347000.0,453304000.0,2109495000.0,219988000.0,540829000.0,1347892000.0,1173612000.0,12116740000.0,1432162000.0,1605341000.0,1605341000.0,10511399000.0,12116740000.0,173179000.0,6081591000.0,-257885000.0
2012,Q2,70378000.0,84273000.0,219907000.0,0.0,258773000.0,282532000.0,10001000.0,6124360000.0,4878322000.0,332821000.0,4807944000.0,454433000.0,2035263000.0,232740000.0,97373000.0,1339053000.0,1329998000.0,11555996000.0,1424335000.0,1636181000.0,1636181000.0,9919815000.0,11555996000.0,211846000.0,5548439000.0,-257764000.0
2012,Q1,78781000.0,76966000.0,551044000.0,0.0,258628000.0,282532000.0,11087000.0,6254215000.0,4935482000.0,388854000.0,4856701000.0,455145000.0,2063600000.0,208330000.0,135267000.0,1317857000.0,1362434000.0,11811661000.0,1396100000.0,1607291000.0,1607291000.0,10204370000.0,11811661000.0,211191000.0,5446822000.0,-257351000.0
2011,Q4TTM,84192000.0,84959000.0,261885000.0,0.0,258487000.0,282532000.0,12190000.0,6019074000.0,5053475000.0,684887000.0,4969283000.0,453050000.0,1927018000.0,193135000.0,159876000.0,1302964000.0,1348629000.0,11739649000.0,1389617000.0,1600165000.0,1600165000.0,10139484000.0,11739649000.0,210548000.0,5567574000.0,-256793000.0
2011,Q3,78406000.0,95525000.0,458878000.0,0.0,258380000.0,282532000.0,13440000.0,5950803000.0,5122200000.0,748470000.0,5043794000.0,456738000.0,1802783000.0,-4995436000.0,121931000.0,1275926000.0,1386817000.0,11593856000.0,1373140000.0,1583052000.0,1583052000.0,10010804000.0,11593856000.0,209912000.0,10333910000.0,-256691000.0
2011,Q2,78481000.0,86388000.0,443844000.0,0.0,258293000.0,282532000.0,14705000.0,6040529000.0,5256183000.0,946627000.0,5177702000.0,460933000.0,1746356000.0,-5058121000.0,101179000.0,1261403000.0,1423589000.0,11820343000.0,1352775000.0,1562063000.0,1562063000.0,10258280000.0,11820343000.0,209288000.0,10498748000.0,-253309000.0
2011,Q1,85397000.0,31755000.0,605740000.0,,258197000.0,282532000.0,16020000.0,6054814000.0,5407178000.0,973085000.0,5321781000.0,464104000.0,1800450000.0,-5368373000.0,467691000.0,1232095000.0,1419141000.0,12195543000.0,1271689000.0,1480362000.0,1480362000.0,10715181000.0,12195543000.0,208673000.0,10873739000.0,-250358000.0
2010,Q4TTM,84482000.0,28777000.0,395628000.0,0.0,257987000.0,282532000.0,17309000.0,5960482000.0,5410003000.0,1227897000.0,5325521000.0,468950000.0,1639076000.0,-5085240000.0,223527000.0,1214743000.0,1433270000.0,11943469000.0,1251149000.0,1459217000.0,1459217000.0,10484252000.0,11943469000.0,208068000.0,10538769000.0,-250358000.0
2010,Q3,82850000.0,69204000.0,427768000.0,,257884000.0,282532000.0,18553000.0,5889673000.0,5497420000.0,1123409000.0,5414570000.0,473205000.0,1572539000.0,-5178193000.0,578401000.0,1187617000.0,1478100000.0,12114398000.0,1264803000.0,1472276000.0,1472276000.0,10642122000.0,12114398000.0,207473000.0,10675963000.0,-249902000.0
2010,Q2,90368000.0,68783000.0,488602000.0,,257267000.0,282532000.0,19834000.0,5918512000.0,5538623000.0,744600000.0,5448255000.0,479461000.0,1561360000.0,-4358090000.0,133614000.0,1170222000.0,1490517000.0,11305690000.0,1250200000.0,1457087000.0,1457087000.0,9848603000.0,11305690000.0,206887000.0,8945096000.0,-246072000.0
2009,Q4TTM,95393000.0,65878000.0,449276000.0,,256969000.0,282532000.0,22358000.0,5661208000.0,5667262000.0,1548707000.0,5571869000.0,490375000.0,1516799000.0,-4706337000.0,186542000.0,1122290000.0,1441817000.0,11762543000.0,1201728000.0,1407470000.0,1407470000.0,10355073000.0,11762543000.0,205742000.0,9652470000.0,-243409000.0
