year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2018,Q1TTM,178852000.0,178852000.0,0.0,3082227000.0,1250969000.0,241194000.0,48046000.0,289240000.0,11500000.0,1250969000.0,992016000.0,996347000.0,3082227000.0,27.3878,23.1624,100475000.0,78377000.0,2601005515.5,3597352515.5,1.4203,1.6794,4.822,14.5428,0.016967,0.068763,1.1671,6.6691,12.4373,14.9148,20.1136,19.3821,45.8981,0.06863,0.167816,0.236842,0.345237,0.345237,0.34,-0.077717,-0.735949,0.033697,0.024301,0.067354,0.088214,0.13603,0.13603,0.135593,-0.056991,1.292947,-0.131382,0.331571,0.331571,0.536217,0.447146,0.447146,0.331571,0.352342,0.532122,0.741528,1.0,0.258472,0.1779,0.0449,1.041,0.6939,6.7144,6.7144,0.5417,0.6831,0.058988,0.0,0.058988,0.040934,0.099922,0.02585,0.020069,0.014882,0.0,0.099922,0.0,0.0,16.139304,0.084015,0.32185,0.405865,0.0,0.0,0.594135,4.325,3.4447,3.4297,6.9944,5.5708,5.5466,5.7674,4.2767,5.4924,4.0017,4.4381,4.1631,1.8742
2017,Q4TTM,157436000.0,157436000.0,0.0,3548426000.0,1709446000.0,221642000.0,49346000.0,270988000.0,12114000.0,1709446000.0,1355641000.0,1444089000.0,3548426000.0,27.5385,23.3076,424983000.0,-267547000.0,2651103909.2,4095192909.2,1.4416,1.7033,5.0343,16.8392,0.016625,0.059385,1.1541,7.7765,15.1121,18.4766,26.0118,20.8069,,0.039733,0.089434,0.125069,0.175492,0.175492,0.168317,-0.031498,-2.565243,0.136062,0.008907,0.023554,0.036752,0.066105,0.066105,0.067873,-0.109561,-54.050823,0.037208,0.298961,0.298961,0.514589,0.420884,0.420884,0.298961,0.35744,0.557808,0.710317,1.0,0.289683,0.1579,0.0439,1.0107,0.8722,6.7315,6.7315,0.7372,0.9296,0.047194,0.0,0.047194,0.041163,0.088357,-0.080202,0.018479,0.013126,0.0,0.088357,0.2769,0.278088,16.247235,0.099708,0.38204,0.481748,0.0,0.0,0.518252,6.3082,5.329,5.0026,10.858,9.1725,8.6107,5.6932,4.044,5.382,3.7328,5.0556,4.7444,-6.8723
2017,Q3TTM,147674000.0,147724425.4,0.0,3421133000.0,1605949000.0,213785000.0,50967000.0,264752000.0,29695000.0,1605949000.0,1227916000.0,1315374000.0,3421133000.0,27.1957,22.9627,152534000.0,-4860000.0,2676488535.0,3991862535.0,1.4745,1.7463,5.1277,18.1243,0.016459,0.055175,1.1668,7.6478,15.0777,18.6723,27.0316,18.0598,,0.04485,0.069441,0.087726,0.106761,0.106761,0.099502,0.225425,-1.015262,0.046666,0.024212,0.032031,0.045772,0.026705,0.026705,0.023148,0.08309,-1.025725,0.067763,0.282921,0.283018,0.507225,0.40958,0.40958,0.282921,0.351924,0.563462,0.690759,1.0,0.309241,0.156,0.0433,1.016,0.8778,6.7681,6.7681,0.6765,0.8847,0.044149,0.0,0.044149,0.038756,0.082905,-0.001453,0.017733,0.012249,0.0,0.082905,0.286029,0.28697,7.443543,0.110499,0.358921,0.46942,0.0,0.0,0.53058,6.0659,4.9683,4.638,10.875,8.9073,8.315,5.6039,3.871,4.8256,3.0926,5.794,5.0156,-0.1274
2017,Q2TTM,143833000.0,143947684.8,0.0,3204019000.0,1407327000.0,204428000.0,52107000.0,256535000.0,29413000.0,1407327000.0,1046916000.0,1090406000.0,3204019000.0,26.9308,22.6959,-45085000.0,188918000.0,2338366743.5,3428772743.5,1.3015,1.5443,4.5884,16.2575,0.018408,0.06151,1.0701,6.7281,13.3657,16.7725,23.8386,16.8012,18.1495,0.00678,0.041678,0.049603,0.1093,0.1093,0.107692,-0.011322,-0.541189,-0.013876,0.009622,0.035769,0.048306,0.081842,0.081842,0.08,0.014097,-0.363537,0.074542,0.282234,0.282459,0.503382,0.401136,0.401136,0.282234,0.358679,0.58683,0.703588,1.0,0.296412,0.1579,0.0428,0.9862,0.8243,6.7316,6.7316,0.5827,0.7833,0.044578,0.0,0.044578,0.036745,0.081323,0.058551,0.01717,0.012081,0.0,0.081323,0.293667,0.294557,6.938395,0.112487,0.326751,0.439238,0.0,0.0,0.560762,5.4859,4.2505,4.081,9.7845,7.5811,7.2787,5.1976,3.657,4.4498,2.9092,5.1888,4.4409,4.8033
2017,Q1TTM,132952000.0,133108808.7,0.0,2981752000.0,1233193000.0,195008000.0,52668000.0,247676000.0,35325000.0,1233193000.0,923416000.0,935388000.0,2981752000.0,26.1966,21.9638,-163873000.0,296825000.0,2362861464.6,3298249464.6,1.3513,1.6117,4.6811,17.7723,0.018226,0.056267,1.1061,6.5342,13.3168,16.9134,24.8078,16.3895,11.1118,-0.011459,-0.027467,-0.03574,-0.006694,-0.006694,-0.004975,-0.009821,-0.502674,-0.052096,-0.003398,-0.004286,-0.010127,-0.007317,-0.007317,-0.009901,-0.009733,0.73653,-0.045364,0.263393,0.263704,0.490675,0.386333,0.386333,0.263393,0.35771,0.589051,0.681777,1.0,0.318223,0.1648,0.0423,0.9706,0.7766,6.9138,6.9138,0.5281,0.7053,0.043396,0.0,0.043396,0.033703,0.077099,0.096885,0.016357,0.011152,0.0,0.077099,0.0,0.0,5.696872,0.103891,0.309689,0.41358,0.0,0.0,0.58642,4.9791,3.7767,3.7283,9.2755,7.0355,6.9455,4.6924,3.1992,3.8424,2.3492,4.8424,3.9924,7.1424
2016,Q4TTM,133932000.0,134172666.0,0.0,3123443000.0,1398776000.0,197003000.0,51739000.0,248742000.0,35155000.0,1398776000.0,893791000.0,1129578000.0,3123443000.0,26.0078,21.7469,-36998000.0,170930000.0,2705590392.0,3835168392.0,1.5688,1.8761,5.3419,20.2012,0.014963,0.049502,1.2279,7.5721,15.4183,19.4676,28.6352,18.872,22.4371,-0.003314,-0.045118,-0.047568,-0.020435,-0.020435,-0.014634,-0.002107,-0.742828,-0.011707,0.013872,0.004771,0.00234,0.00377,0.00377,0.004975,0.126653,-0.463235,-0.044409,0.264433,0.264908,0.491112,0.38896,0.38896,0.264433,0.351727,0.571831,0.679848,1.0,0.320152,0.1612,0.043,0.97,0.8536,6.9545,6.9545,0.5182,0.811,0.042627,0.0,0.042627,0.036385,0.079012,0.054403,0.016712,0.011361,0.0,0.079012,0.295441,0.354919,5.780686,0.161676,0.286156,0.447831,0.0,0.0,0.552169,5.6234,4.5412,3.5932,10.4439,8.434,6.6735,4.5678,3.1054,3.7526,2.2903,4.7119,3.8968,3.9632
2016,Q3TTM,133429000.0,133792200.5,0.0,3268599000.0,1521315000.0,196543000.0,51018000.0,247561000.0,5810000.0,1521315000.0,788416000.0,1272418000.0,3268599000.0,26.3576,22.0947,-185016000.0,318445000.0,1974162537.7,3246580537.7,1.1298,1.3478,3.9518,14.7956,0.020499,0.067588,0.9933,6.4989,13.1143,16.5184,24.3319,17.9991,10.1951,-0.029376,-0.074905,-0.083562,-0.049035,-0.049035,-0.042857,-0.192328,0.218639,-0.053572,-0.013106,0.005238,0.009119,0.02906,0.02906,0.030769,-0.126158,-0.226617,0.006,0.267095,0.267822,0.495561,0.393435,0.393435,0.267095,0.357405,0.565903,0.678879,1.0,0.321121,0.1486,0.0416,0.968,0.9743,7.0456,7.0456,0.4512,0.8707,0.039698,0.0,0.039698,0.038676,0.078374,0.094744,0.016386,0.011124,0.0,0.078374,0.287636,0.373757,31.045611,0.224224,0.241209,0.465433,0.0,0.0,0.534567,6.1452,5.1398,3.1847,11.4017,9.5363,5.9089,4.4928,3.0501,4.36,2.9173,4.1232,3.9904,7.2794
2016,Q2TTM,129661000.0,130123012.2,0.0,3249104000.0,1508480000.0,194767000.0,51504000.0,246271000.0,9374000.0,1508480000.0,713541000.0,1263129000.0,3249104000.0,26.3097,22.0378,-282095000.0,411756000.0,1726091049.5,2989220049.5,0.9917,1.1839,3.41,13.3123,0.022855,0.075118,0.92,5.9053,12.1379,15.3477,23.0541,14.4815,7.2597,0.002499,-0.080025,-0.0961,-0.083817,-0.083817,-0.080189,-0.022485,-0.259081,-0.079886,-0.008668,-0.032984,-0.036932,-0.031282,-0.031282,-0.029851,0.015637,-0.310109,0.032896,0.25615,0.257063,0.486518,0.38477,0.38477,0.25615,0.348835,0.554992,0.665724,1.0,0.334276,0.1493,0.0424,0.9767,1.0126,7.0798,7.0798,0.4099,0.8666,0.038246,0.0,0.038246,0.03873,0.076976,0.121457,0.016332,0.010873,0.0,0.076976,0.296003,0.399287,22.020055,0.244664,0.219612,0.464276,0.0,0.0,0.535724,6.1253,5.129,2.8974,11.634,9.7418,5.5031,4.4565,2.9668,4.242,2.7523,4.723,4.5086,9.4215
2016,Q1TTM,133848000.0,134411226.4,0.0,3145625000.0,1445328000.0,202236000.0,52435000.0,254671000.0,11841000.0,1445328000.0,661066000.0,1186858000.0,3145625000.0,25.7161,21.4411,-462994000.0,596842000.0,1630471902.1,2817329902.1,0.9589,1.1501,3.1931,12.1815,0.02418,0.082092,0.8956,5.5175,11.0626,13.9309,21.0487,13.8622,4.7204,0.008768,-0.068306,-0.082776,-0.079241,-0.079241,-0.073733,0.023328,2.538876,-0.128302,0.004813,-0.022357,-0.022268,-0.021049,-0.021049,-0.019512,-0.002018,-0.102025,-0.004688,0.26213,0.263233,0.498752,0.396062,0.396062,0.26213,0.34153,0.54291,0.661841,1.0,0.338159,0.1512,0.0421,0.9793,1.0352,7.3081,7.3081,0.3888,0.85,0.039634,0.0,0.039634,0.041031,0.080664,0.176731,0.016677,0.011038,0.0,0.080664,0.287752,0.387806,17.163922,0.249318,0.210154,0.459472,0.0,0.0,0.540528,5.6753,4.6604,2.5958,10.7983,8.8672,4.9389,4.6078,3.0496,4.338,2.7798,4.6306,4.3608,13.5986
2015,Q4TTM,136726000.0,137356609.9,0.0,3160441000.0,1494938000.0,206842000.0,53653000.0,260495000.0,15316000.0,1494938000.0,667166000.0,1221885000.0,3160441000.0,24.9939,20.7517,-527927000.0,664653000.0,1712554272.1,2934439272.1,1.0283,1.2385,3.37,12.5254,0.023474,0.079837,0.9285,5.7745,11.2649,14.1869,21.4622,14.4093,4.415,-0.0328,-0.079747,-0.100444,-0.107247,-0.107247,-0.100877,0.054974,1.544146,-0.143133,-0.012639,-0.026573,-0.03554,-0.025536,-0.025536,-0.02381,-0.088113,1.543523,-0.084889,0.269055,0.270296,0.512613,0.407032,0.407032,0.269055,0.338398,0.544943,0.661017,1.0,0.338983,0.1484,0.0424,0.9743,1.1098,7.3839,7.3839,0.4006,0.8976,0.039927,0.0,0.039927,0.044312,0.084239,0.194093,0.017259,0.011408,0.0,0.084239,0.281695,0.330537,13.296487,0.261917,0.211099,0.473016,0.0,0.0,0.526984,5.7388,4.6906,2.5611,10.9338,8.9367,4.8796,4.6673,3.0852,4.3217,2.7396,4.5953,4.2497,14.9977
