year,period,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q1TTM,22719000.0,66983000.0,40636000.0,25327000.0,-49429000.0,0.0,0.0,,-194622000.0,185602000.0,-34163000.0,-194622000.0,185602000.0,-43183000.0,0.0,178852000.0,178852000.0,-3050000.0,0.0,0.0,11183000.0,-1293214000.0,-13872000.0,0.0,0.0,,1110092000.0,2372000.0
2017,Q4TTM,24065000.0,66983000.0,38995000.0,25281000.0,-17809000.0,1455000.0,461850000.0,203147000.0,-403807000.0,196819000.0,203147000.0,-403807000.0,196819000.0,-3841000.0,-65197000.0,157436000.0,157436000.0,-3375000.0,-151180000.0,-43594000.0,11221000.0,-1602466000.0,-14315000.0,,-187000.0,,1210773000.0,2201000.0
2017,Q3TTM,25856000.0,62878000.0,20459000.0,25111000.0,19302000.0,1475000.0,440500000.0,110957000.0,-290315000.0,221036000.0,110957000.0,-290315000.0,221036000.0,41678000.0,67226000.0,147674000.0,147674000.0,-10978000.0,-354866000.0,-42239000.0,14071000.0,-1377047000.0,-36579000.0,-1000000.0,-139000.0,,1116427000.0,6884000.0
2017,Q2TTM,27228000.0,58691000.0,31104000.0,24879000.0,2854000.0,1473000.0,334375000.0,139025000.0,-271534000.0,204079000.0,139025000.0,-271534000.0,204079000.0,71570000.0,281072000.0,143833000.0,143833000.0,-848000.0,-434528000.0,-42239000.0,6133000.0,-1597222000.0,-39311000.0,-1000000.0,-128000.0,,1355101000.0,9898000.0
2017,Q1TTM,27883000.0,49825000.0,43348000.0,24785000.0,6623000.0,0.0,0.0,,-161865000.0,201242000.0,-42000.0,-161865000.0,201242000.0,39335000.0,0.0,132952000.0,132952000.0,-3426000.0,0.0,0.0,12425000.0,-1528111000.0,-37877000.0,0.0,0.0,,1401571000.0,2552000.0
2016,Q4TTM,27001000.0,49925000.0,44069000.0,24738000.0,-811000.0,549000.0,227625000.0,-69312000.0,-137763000.0,203220000.0,-69312000.0,-137763000.0,203220000.0,-3855000.0,73836000.0,133932000.0,133932000.0,-1499000.0,-322787000.0,-39569000.0,19859000.0,-1413193000.0,-38856000.0,-1000000.0,-7966000.0,,1310585000.0,3701000.0
2016,Q3TTM,26244000.0,60505000.0,44356000.0,24774000.0,-25852000.0,381000.0,121250000.0,-244617000.0,71457000.0,180375000.0,-244617000.0,71457000.0,180375000.0,7215000.0,79535000.0,133429000.0,133429000.0,1467000.0,-98113000.0,-38379000.0,20313000.0,-1308421000.0,-16581000.0,-297800000.0,-11491000.0,,1385688000.0,10771000.0
2016,Q2TTM,26665000.0,53569000.0,45161000.0,24839000.0,-32000.0,893000.0,46375000.0,-484323000.0,262866000.0,206416000.0,-484323000.0,262866000.0,206416000.0,-15041000.0,-38972000.0,129661000.0,129661000.0,-5209000.0,-112272000.0,-38380000.0,30492000.0,-904239000.0,-15008000.0,-328575000.0,-13392000.0,,1176479000.0,5634000.0
2016,Q1TTM,27472000.0,65284000.0,44143000.0,24963000.0,-10040000.0,1429000.0,,-630617000.0,407453000.0,203238000.0,-630617000.0,407453000.0,203238000.0,-19926000.0,-35189000.0,133848000.0,133848000.0,-4167000.0,-89143000.0,-38515000.0,31162000.0,-645596000.0,-16966000.0,-455807000.0,-13392000.0,,1064890000.0,5125000.0
2015,Q4TTM,28644000.0,65234000.0,44560000.0,25009000.0,-3711000.0,1370000.0,,-558967000.0,373225000.0,203649000.0,-558967000.0,373225000.0,203649000.0,17907000.0,97628000.0,136726000.0,136726000.0,-7424000.0,-30578000.0,-38515000.0,24405000.0,-666557000.0,-19831000.0,-582194000.0,-6678000.0,,1055098000.0,4515000.0
2015,Q3TTM,28414000.0,61680000.0,45058000.0,24728000.0,10240000.0,1398000.0,,-234557000.0,-50658000.0,223327000.0,-234557000.0,-50658000.0,223327000.0,-61888000.0,52707000.0,140310000.0,140310000.0,-5225000.0,-38399000.0,-37280000.0,24860000.0,-955350000.0,-24101000.0,-202631000.0,-10352000.0,,927088000.0,1705000.0
2015,Q2TTM,27794000.0,64926000.0,45514000.0,24425000.0,2514000.0,909000.0,-134867000.0,-513827000.0,111360000.0,211164000.0,-513827000.0,111360000.0,211164000.0,-191303000.0,41195000.0,141523000.0,141523000.0,-3936000.0,37146000.0,-37279000.0,18844000.0,-1039946000.0,-33497000.0,-408625000.0,-12306000.0,,1182277000.0,2526000.0
2015,Q1TTM,28708000.0,74772000.0,46228000.0,24147000.0,-8794000.0,488000.0,,-11719000.0,-259777000.0,198605000.0,-11719000.0,-259777000.0,198605000.0,-72891000.0,212679000.0,145367000.0,145367000.0,-5545000.0,36235000.0,-34762000.0,14722000.0,-1435416000.0,-43730000.0,-211946000.0,-14413000.0,,1213499000.0,5870000.0
2014,Q4TTM,29118000.0,80374000.0,47273000.0,24013000.0,-9910000.0,555000.0,,-122277000.0,-90399000.0,193037000.0,-122277000.0,-90399000.0,193037000.0,-19639000.0,195200000.0,153151000.0,153151000.0,-17758000.0,-99031000.0,-34762000.0,14423000.0,-1494089000.0,-50360000.0,-165316000.0,-18923000.0,,1445626000.0,8424000.0
2014,Q3TTM,32103000.0,79964000.0,49177000.0,24423000.0,-1890000.0,524000.0,-65543000.0,-186471000.0,-10899000.0,198426000.0,-186471000.0,-10899000.0,198426000.0,1056000.0,301267000.0,153540000.0,153540000.0,-23696000.0,-131726000.0,-32197000.0,13946000.0,-1402547000.0,-61313000.0,-247079000.0,-11717000.0,,1442662000.0,10299000.0
2014,Q2TTM,38005000.0,78649000.0,51273000.0,24919000.0,-6898000.0,492000.0,606359000.0,630391000.0,-616193000.0,198573000.0,630391000.0,-616193000.0,198573000.0,212771000.0,228915000.0,152134000.0,152134000.0,-26517000.0,-155006000.0,-32197000.0,16930000.0,-1782375000.0,-62541000.0,-10310000.0,-7862000.0,,1219936000.0,8787000.0
2014,Q1TTM,44283000.0,61184000.0,53822000.0,25484000.0,21348000.0,372000.0,474923000.0,617606000.0,-718186000.0,216908000.0,617606000.0,-718186000.0,216908000.0,116328000.0,119700000.0,141928000.0,141928000.0,-33762000.0,-218417000.0,-28894000.0,17627000.0,-1954197000.0,-58286000.0,275677000.0,-5755000.0,,1288487000.0,5810000.0
2013,Q4TTM,48878000.0,60532000.0,56818000.0,26017000.0,18718000.0,265000.0,474923000.0,230208000.0,-447649000.0,209126000.0,230208000.0,-447649000.0,209126000.0,-8315000.0,-43788000.0,126351000.0,126351000.0,-33806000.0,-172298000.0,-28894000.0,22968000.0,-1831648000.0,-50016000.0,,,,1431482000.0,2533000.0
2013,Q3TTM,50516000.0,59512000.0,60185000.0,26098000.0,10854000.0,154000.0,674432000.0,417891000.0,-577260000.0,201792000.0,417891000.0,-577260000.0,201792000.0,42423000.0,121635000.0,113128000.0,113128000.0,-27583000.0,-172475000.0,-29231000.0,28779000.0,-2267886000.0,-69172000.0,,-624000.0,-176000000.0,1755365000.0,4433000.0
2013,Q2TTM,46064000.0,56755000.0,65073000.0,26283000.0,9805000.0,82000.0,258297000.0,91132000.0,-230134000.0,158019000.0,91132000.0,-230134000.0,158019000.0,19017000.0,34101000.0,107180000.0,107180000.0,-59641000.0,-304927000.0,-31742000.0,28328000.0,-3171662000.0,-61069000.0,352066000.0,-745000.0,-216000000.0,2996988000.0,5609000.0
2013,Q1TTM,39921000.0,41253000.0,71528000.0,26454000.0,4794000.0,54000.0,254866000.0,-370312000.0,-99224000.0,153451000.0,-370312000.0,-99224000.0,153451000.0,-316085000.0,-1272000.0,104217000.0,104217000.0,-52028000.0,-306847000.0,-34454000.0,30093000.0,-3098374000.0,-58630000.0,-65501000.0,-1158000.0,-216000000.0,3050698000.0,7082000.0
