date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-15,45.75,1,46.5,42.45,42.45,4487432.0,45.75,0.0,46.5,42.45,42.45,1.0,4487432.0
2018-06-30,42.8,1,45.0,36.65,38.85,10982702.0,42.8,0.0,45.0,36.65,38.85,1.0,10982702.0
2018-03-31,38.9,1,42.45,37.8,39.9,11037820.0,38.9,0.0,42.45,37.8,39.9,1.0,11037820.0
2017-12-31,39.7,1,42.9,37.55,40.1,15328253.0,39.7,0.0,42.9,37.55,40.1,1.0,15328253.0
2017-09-30,40.1,1,41.05,33.5764144011756,34.9155033063924,10701967.0,40.1,0.33,41.05,33.85,35.2,1.0,10701967.0
2017-06-30,34.7667156502572,1,38.4368111682586,32.2373254959589,35.113886847906,11822242.0,35.05,0.0,38.75,32.5,35.4,1.0,11822242.0
2017-03-31,35.113886847906,1,41.1075042337951,32.8270326696654,40.788079514704,11533479.0,35.4,0.33,41.825,33.4,41.5,1.0,11533479.0
2016-12-31,40.1000878120464,1,41.5252134818372,28.8071954355657,28.9644506818874,11744660.0,40.8,0.0,42.25,29.31,29.47,1.0,11744660.0
2016-09-30,29.2691327216358,1,29.6090715551251,24.142482128719,25.1346389285293,9698923.0,29.78,0.31,30.44,24.82,25.84,1.0,9698923.0
2016-06-30,25.3778146147574,1,27.6636660653009,22.3332550231824,23.8603983326945,9671927.0,26.09,0.0,28.44,22.96,24.53,1.0,9671927.0
2016-03-31,23.986849689533,1,24.7904605037889,20.2373068178375,24.1597871891808,11521929.0,24.66,0.29,25.786,21.05,25.13,1.0,11521929.0
2015-12-31,24.7077807704714,1,29.8031596842262,22.9772747242905,24.1405593442232,13626304.0,25.7,0.0,31.0,23.9,25.11,1.0,13626304.0
2015-09-30,24.063647964393,1,26.5631268881886,22.8199680920705,25.8695974665728,11205019.0,25.03,0.29,27.96,24.02,27.23,1.0,11205019.0
