2016 ± 1, 0.000001941, 0.000000757, 0.000000009, 0.01337, 0.01142, 0.01503, 0.01157, 0.01271, 0.00599, 0.00539, 0.01021, 0.05308, 0.08686, 0.01606, 0.00879, 0.00809, 0.01201, 0.01151, 0.01493, 0.01128, 0.00856, 0.16145, 0.19083, 0.03000, 0.00940, 0.01012, 0.20921, 0.01072, 0.01234, 0.01499, 0.01305, 0.00881, 0.00779, 0.00652, 0.00805, 0.01049, 0.00523, 0.00928, 0.01092, 0.01921, 0.04021, 0.00856, 0.00940, 0.00883, 0.01182, 0.00626, 0.01006, 0.00980, 0.00709, 0.09768, 0.13591, 0.01393, 0.00859, 0.01111, 0.12518, 0.00883, 0.00537, 0.00844, 0.01165, 0.00738, 0.01033, 0.01134, 0.00954, 0.01175, 0.01481, 0.01038, 0.01207, 0.00483, 0.00803, 0.01151, 0.00969, 0.00700, 0.02147, 0.00520, 0.01150, 0.01082, 0.00876, 0.00639, 0.00690, 0.01423, 0.00977, 0.01023, 0.02190, 0.00956, 0.00834, 0.00860, 0.00657
2015 ± 1, 0.000011840, 0.000004699, 0.000000808, 0.15532, 0.00595, 0.01098, 0.01946, 0.00747, 0.01228, 0.00991, 0.01202, 0.04981, 0.14515, 0.01550, 0.00267, 0.00895, 0.01338, 0.01460, 0.01094, 0.01083, 0.00378, 0.01497, 0.08346, 0.09872, 0.00759, 0.01725, 0.19455, 0.00924, 0.00786, 0.01947, 0.01454, 0.04199, 0.00764, 0.01157, 0.01670, 0.00475, 0.00812, 0.00394, 0.01413, 0.01256, 0.10081, 0.00773, 0.00328, 0.00300, 0.03524, 0.00697, 0.00860, 0.01223, 0.00781, 0.00428, 0.01715, 0.03785, 0.00279, 0.01178, 0.17962, 0.00662, 0.00618, 0.03574, 0.00870, 0.00899, 0.01462, 0.00680, 0.04168, 0.01025, 0.00776, 0.00778, 0.00549, 0.00955, 0.00752, 0.00703, 0.01113, 0.00744, 0.01853, 0.00704, 0.00643, 0.02478, 0.00954, 0.00811, 0.00785, 0.00930, 0.00665, 0.00931, 0.01167, 0.00747, 0.00771, 0.04593, 0.00588
2014 ± 1, 0.000007688, 0.000003441, 0.000008597, 0.01809, 0.01791, 0.00677, 0.02679, 0.01125, 0.19880, 0.02972, 0.20637, 0.00492, 0.01182, 0.01448, 0.00900, 0.00628, 0.01760, 0.01282, 0.00606, 0.01883, 0.00489, 0.01094, 0.00781, 0.03135, 0.00956, 0.17560, 0.00812, 0.00747, 0.01008, 0.03364, 0.00584, 0.00591, 0.01240, 0.00654, 0.02866, 0.00618, 0.13649, 0.01601, 0.10385, 0.00366, 0.00498, 0.01247, 0.00630, 0.00466, 0.02460, 0.00651, 0.00953, 0.01266, 0.00178, 0.00996, 0.00789, 0.01952, 0.00439, 0.09160, 0.01142, 0.00411, 0.00738, 0.03976, 0.00443, 0.00701, 0.00739, 0.01782, 0.08005, 0.00613, 0.00799, 0.00580, 0.00955, 0.00653, 0.01672, 0.00715, 0.00407, 0.01140, 0.02352, 0.01214, 0.00766, 0.00378, 0.00689, 0.01602, 0.00430, 0.00476, 0.00940, 0.00705, 0.00944, 0.00670, 0.01006, 0.05562, 0.00853
2013 ± 1, 0.000011041, 0.000005983, 0.000005501, 0.02029, 0.02364, 0.00730, 0.02297, 0.01405, 0.02819, 0.02162, 0.00736, 0.00629, 0.00494, 0.00912, 0.25171, 0.00727, 0.01804, 0.01157, 0.01342, 0.00577, 0.00743, 0.12590, 0.18663, 0.05335, 0.01271, 0.02058, 0.01776, 0.01848, 0.00717, 0.01777, 0.01528, 0.00911, 0.00887, 0.00408, 0.10320, 0.00836, 0.01018, 0.01301, 0.00941, 0.00164, 0.00471, 0.00704, 0.19472, 0.00761, 0.01597, 0.00790, 0.00844, 0.00767, 0.00473, 0.06452, 0.07806, 0.01516, 0.00745, 0.00696, 0.01086, 0.00427, 0.00645, 0.05905, 0.00494, 0.00732, 0.00698, 0.00676, 0.08632, 0.01003, 0.01410, 0.00469, 0.01086, 0.00757, 0.01263, 0.00845, 0.00568, 0.01755, 0.02986, 0.00515, 0.00612, 0.01075, 0.00624, 0.00731, 0.00812, 0.00306, 0.00552, 0.00863, 0.01361, 0.00573, 0.00342, 0.08100, 0.01243
2012 ± 1, 0.000005276, 0.000003020, 0.000003927, 0.00935, 0.00959, 0.00915, 0.01953, 0.01310, 0.01511, 0.01123, 0.01078, 0.01139, 0.00848, 0.00654, 0.23106, 0.01292, 0.01508, 0.00937, 0.01586, 0.00540, 0.01004, 0.16583, 0.16693, 0.02203, 0.01449, 0.00858, 0.03837, 0.11026, 0.01101, 0.00760, 0.01714, 0.00670, 0.00465, 0.00560, 0.02402, 0.00965, 0.00578, 0.00380, 0.00491, 0.00474, 0.01021, 0.00600, 0.10058, 0.01669, 0.03011, 0.01169, 0.01396, 0.00399, 0.00694, 0.12258, 0.11823, 0.01006, 0.00489, 0.00836, 0.02408, 0.06386, 0.00599, 0.02098, 0.00481, 0.01008, 0.00764, 0.00690, 0.05306, 0.00520, 0.00554, 0.00290, 0.00739, 0.00660, 0.00352, 0.00955, 0.00969, 0.01264, 0.04390, 0.04054, 0.02540, 0.00783, 0.00712, 0.01096, 0.00991, 0.00506, 0.00546, 0.00678, 0.00587, 0.00821, 0.00823, 0.05948, 0.01098
2011 ± 1, 0.000022613, 0.000002611, 0.000004946, 0.00555, 0.00799, 0.21097, 0.01145, 0.01102, 0.02119, 0.01513, 0.06393, 0.09074, 0.20370, 0.00212, 0.02286, 0.01649, 0.01038, 0.01407, 0.01130, 0.00970, 0.00975, 0.01764, 0.02020, 0.01024, 0.00658, 0.01680, 0.04424, 0.10118, 0.00834, 0.01235, 0.00664, 0.00512, 0.00831, 0.18273, 0.01486, 0.00522, 0.01182, 0.00709, 0.07016, 0.03361, 0.10285, 0.00255, 0.00463, 0.01985, 0.03479, 0.01813, 0.00718, 0.00303, 0.00481, 0.00835, 0.01004, 0.00444, 0.00571, 0.00458, 0.01060, 0.04017, 0.00595, 0.04430, 0.00412, 0.00570, 0.00647, 0.00983, 0.01510, 0.00882, 0.00834, 0.00726, 0.01108, 0.00778, 0.01281, 0.00689, 0.00569, 0.01755, 0.06137, 0.04486, 0.01665, 0.00529, 0.00774, 0.01135, 0.00733, 0.00684, 0.00818, 0.00793, 0.00538, 0.00610, 0.00681, 0.05731, 0.00799
2010 ± 1, 0.000002790, 0.000007750, 0.000010506, 0.00619, 0.00486, 0.27813, 0.01755, 0.00853, 0.01250, 0.01750, 0.03022, 0.02027, 0.02978, 0.00505, 0.01278, 0.00843, 0.00964, 0.01198, 0.01307, 0.00934, 0.01407, 0.01167, 0.20781, 0.01579, 0.00584, 0.01357, 0.14029, 0.03326, 0.00784, 0.01649, 0.00578, 0.00781, 0.00655, 0.14515, 0.03282, 0.00718, 0.00703, 0.00543, 0.02584, 0.00835, 0.00793, 0.00815, 0.01074, 0.03491, 0.01313, 0.01479, 0.01140, 0.00445, 0.00312, 0.00382, 0.14208, 0.00702, 0.00240, 0.00781, 0.08288, 0.02354, 0.00710, 0.04102, 0.00470, 0.00890, 0.00616, 0.01184, 0.08218, 0.00546, 0.00555, 0.00197, 0.00787, 0.01013, 0.00600, 0.00928, 0.00600, 0.01456, 0.02908, 0.04484, 0.02607, 0.01324, 0.00663, 0.00642, 0.00664, 0.00961, 0.00938, 0.00432, 0.01377, 0.00437, 0.00642, 0.03915, 0.00309
2009 ± 1, 0.000009839, 0.000002788, 0.000013669, 0.01487, 0.03452, 0.11050, 0.00915, 0.01198, 0.01154, 0.01093, 0.03045, 0.18009, 0.12308, 0.20147, 0.01686, 0.00942, 0.01344, 0.00823, 0.01740, 0.01089, 0.01041, 0.00995, 0.01095, 0.01712, 0.01451, 0.02088, 0.04100, 0.00975, 0.00959, 0.02111, 0.00899, 0.00723, 0.01703, 0.03943, 0.03149, 0.00638, 0.00774, 0.00672, 0.02098, 0.10069, 0.08144, 0.17502, 0.00955, 0.04051, 0.03525, 0.02339, 0.02839, 0.00448, 0.00412, 0.00538, 0.00556, 0.00655, 0.01049, 0.00428, 0.01493, 0.00874, 0.00468, 0.03754, 0.00653, 0.00375, 0.00781, 0.00796, 0.01632, 0.00540, 0.00906, 0.00680, 0.00740, 0.01058, 0.01318, 0.00487, 0.00423, 0.04230, 0.04142, 0.05844, 0.08106, 0.00600, 0.00421, 0.00816, 0.00643, 0.00573, 0.00727, 0.00352, 0.00875, 0.00601, 0.00693, 0.00918, 0.00773
2008 ± 1, 0.000013832, 0.000007576, 0.000001622, 0.00779, 0.00839, 0.21881, 0.01703, 0.01354, 0.01025, 0.00756, 0.04559, 0.02647, 0.01480, 0.22819, 0.00694, 0.02220, 0.02871, 0.02393, 0.01230, 0.00947, 0.00934, 0.00462, 0.01548, 0.00303, 0.16972, 0.00864, 0.00828, 0.01065, 0.00789, 0.01761, 0.00696, 0.00687, 0.00325, 0.11710, 0.01096, 0.00704, 0.00476, 0.00444, 0.00966, 0.01530, 0.01108, 0.09750, 0.00568, 0.05000, 0.02905, 0.02741, 0.01496, 0.00882, 0.00868, 0.00548, 0.00783, 0.00285, 0.09864, 0.00640, 0.00667, 0.00731, 0.00913, 0.01271, 0.00920, 0.01186, 0.00835, 0.00294, 0.02706, 0.00549, 0.00968, 0.01119, 0.01433, 0.00270, 0.00689, 0.00572, 0.01311, 0.03938, 0.04029, 0.03548, 0.05509, 0.01187, 0.00421, 0.00656, 0.01108, 0.01104, 0.00665, 0.01147, 0.00689, 0.01071, 0.00532, 0.01013, 0.00663
2007 ± 1, 0.000010952, 0.000010875, 0.000005336, 0.00677, 0.00483, 0.00627, 0.07921, 0.01251, 0.00629, 0.01021, 0.00188, 0.01322, 0.00836, 0.00413, 0.00341, 0.05437, 0.04497, 0.03104, 0.08304, 0.00649, 0.03772, 0.00216, 0.00628, 0.00504, 0.07878, 0.00322, 0.00313, 0.00622, 0.00550, 0.06497, 0.00345, 0.00836, 0.00764, 0.01230, 0.08830, 0.00984, 0.00997, 0.01104, 0.00548, 0.01382, 0.00911, 0.00575, 0.00674, 0.02906, 0.04215, 0.04573, 0.02845, 0.00665, 0.01946, 0.00674, 0.01228, 0.00662, 0.08285, 0.00498, 0.00617, 0.01049, 0.02048, 0.07062, 0.00464, 0.01021, 0.01057, 0.00532, 0.09408, 0.00684, 0.00973, 0.00494, 0.00789, 0.00786, 0.00418, 0.00863, 0.00997, 0.03385, 0.03063, 0.04681, 0.06681, 0.00676, 0.03923, 0.01483, 0.00526, 0.00472, 0.00700, 0.01028, 0.00919, 0.00715, 0.00272, 0.03403, 0.01502
