"Year Range" "# Correlations" "# Data Points" "Naive Gain" "Genetic Gain"
"2017 ± 1" 351 182 1.199026 1.805432
"2016 ± 1" 378 206 1.422137 2.240821
"2015 ± 1" 325 202 1.111099 1.511684
"2014 ± 1" 300 200 0.853343 1.271068
"2013 ± 1" 300 188 1.119157 1.767346
"2012 ± 1" 231 176 1.380570 2.144387
"2011 ± 1" 231 176 1.164945 1.631635
"2010 ± 1" 231 176 1.179257 1.575081
"2009 ± 1" 231 176 1.577015 2.127189
"2008 ± 1" 231 173 0.916735 1.221756
"2007 ± 1" 210 161 0.751403 0.979822
"2008 ± 10" 378 1009 1.830986 3.605183
"2003 ± 15" 378 1372 2.406743 4.211454
"1998 ± 20" 378 1632 2.374645 5.203981
