"Year Range" "# Correlations" "# Data Points" "Naive Per Annum" "Genetic Per Annum" "UK Interest Per Annum" "G" "R" "G" "R"
"2017 ± 1" 351 182 1.0228569663473592 4.902672918222182 1.004165975 1.590068668167071 5.680970769112694 1.595852487156446
"2016 ± 1" 378 206 2.2401740683498015 6.309801077929959 1.004165975 2.089318448253524 1.5777652140075764 8.362467630256655 1.5368286676936858
"2015 ± 1" 325 202 0.8797745119460983 2.7263942351734567 1.004165975 1.1809881701589642 1.5466880805226115 2.814820220530811 1.5272100636649462
"2014 ± 1" 300 200 -0.7651574038731752 1.700603845246922 1.005000000 0.7362818718543935 1.5498729616840754 1.8433406100928265 1.515123981509709
"2013 ± 1" 300 188 0.9656247913817048 2.7015404636245464 1.005000000 1.230143440301271 1.5859528146112405 3.5943700382169523 1.5719753432138628
"2012 ± 1" 231 176 1.7878784807667627 4.469560999709132 1.005000000 1.7339246479604724 1.501361898132265 4.239918640187988 1.5787863107080404
"2011 ± 1" 231 176 0.672264467406441 3.7105865212612943 1.005000000 1.306970853512835 1.4793559308518942 2.580724225680201 1.5605911702245283
"2010 ± 1" 231 176 0.9698650523573095 5.922637545557244 1.006663910 1.3281677950124433 1.4929939647743817 2.729240031207838 1.5725474226781935
"2009 ± 1" 231 176 2.02843956241152 3.141944514265386 1.018053598 2.064261531581148 1.558949894452018 4.246763585232871 1.659418372272135
"2008 ± 1" 231 173 -1.4310341511591051 3.122783426006686 1.034664247 0.8546047251738844 1.4584267264015187 1.5563318856974464 1.4302923035386155
"2007 ± 1" 210 161 -2.235088148086279 -0.527521931329573 1.047730634 0.593025910160757 1.4105692727588022 0.9701650817277329 1.129132841640554
"2006 ± 1" 171 152 0.4715451400575901 2.546034448465596 1.049575234 1.2283072189514281 1.4460584261631906 2.0356671590122217 1.5978159331644863
"2005 ± 1" 171 152 1.708560551383058 1.5783179260484106 1.045831177 1.3036127654834182 1.452056218046422 2.141175388619047 1.6002742577814435
"2004 ± 1" 171 147 1.7499563580723614 2.79491788030554 1.041799084 2.3408760947795475 1.477916835112733 1.3206422973829584 1.4345368421899285
"2003 ± 1" 152 135 1.0745622869723586 2.660736885684982 1.040134865 1.4356758899329822 1.6120102490923085 2.5578635098297995 1.605344818442045
"2002 ± 1" 120 126 -0.5639856011074559 1.5470472472087178 1.042088675 1.0336326861917242 1.4526026407088228 1.4356758899329822 1.6120102490923085
"2001 ± 1" 120 118 -4.258262685618614 0.9400798101190967 1.049436357 0.9467932825937574 1.340675336564157 1.2793045232909148 1.4548713469544958
"2000 ± 1" 91 109 -8.425583990153775 0.850082006056582 1.054179952 0.9905695752221115 1.3035074948714684 1.7461376376831035 1.3461388046517353
"1999 ± 1" 78 98 -2.985898250650225 1.635422740715291 1.060744796 1.0159969593554183 1.2362162629851312 2.0028223068333535 1.3343963471635414
"1998 ± 1" 55 89 2.8581419113198745 8.013066716482719 1.063658945 1.0397444047250752 1.2035368343810224 1.8024013303888005 1.3118523493893988




















