Stocks,2017 ± 1,2016 ± 1,2015 ± 1,2014 ± 1,2013 ± 1,2012 ± 1,2011 ± 1,2010 ± 1,2009 ± 1,2008 ± 1,2007 ± 1,2006 ± 1,2005 ± 1,2004 ± 1,2003 ± 1,2002 ± 1,2001 ± 1,2000 ± 1,1999 ± 1,1998 ± 1
AINV ,0.00337,0.00406,0.06362,0.00071,0.01172,0.02590,0.02074,0.00136,0.00110,0.02898,0.00290,0.01254,0.01610,0.03458,0.00595,0.36376,0.57003,0.02322,0.02143,0.02164
AIRG ,0.02702,0.00813,0.00214,0.00525,0.01673,0.00786,0.00663,0.00143,0.00494,0.00896,0.00006,0.25525,0.01389,0.01067,0.00433,0.06618,0.01114,0.00540,0.00647,0.01611
AIRI ,0.00281,0.00255,0.00573,0.00537,0.01006,0.01858,0.03114,0.01827,0.15074,0.27844,0.03873,0.05829,0.00056,0.00279,0.00036,0.01331,0.00010,0.00260,0.00227,0.47445
AIRM ,0.00025,0.00091,0.00352,0.10958,0.03471,0.00227,0.00159,0.12454,0.00252,0.00915,0.01683,0.00512,0.01948,0.00649,0.01020,0.00188,0.00334,0.00188,0.01119,0.01632
AIT  ,0.00379,0.00260,0.01020,0.00911,0.00411,0.00406,0.00244,0.01302,0.01899,0.00810,0.02009,0.04929,0.00232,0.00097,0.00537,0.00981,0.00790,0.00304,0.00415,0.01727
AIV  ,0.00013,0.00260,0.01069,0.02955,0.03243,0.02130,0.05022,0.02221,0.00262,0.00689,0.00477,0.06637,0.03446,0.02440,0.00429,0.24176,0.00404,0.01175,0.01819,0.00118
AIXG ,0.00275,0.01788,0.00061,0.03890,0.05281,0.00772,0.02284,0.00841,0.00550,0.00524,0.01348,0.04666,0.00491,0.00744,0.01064,0.03308,0.00383,0.01108,0.02434,0.03573
AIZ  ,0.00841,0.00382,0.02862,0.31527,0.00648,0.00836,0.00520,0.03329,0.17000,0.01162,0.00250,0.00825,0.23467,0.03033,0.03444,0.03761,0.00068,0.01300,0.01328,0.00613
AJG  ,0.01692,0.17342,0.00242,0.00757,0.00353,0.00661,0.09437,0.15196,0.03561,0.21435,0.00142,0.02613,0.00115,0.00883,0.03129,0.03995,0.01333,0.01122,0.00809,0.00530
AJRD ,0.01728,0.05391,0.35355,0.00876,0.00799,0.01443,0.41847,0.14014,0.08225,0.03767,0.02626,0.03162,0.03344,0.03064,0.00701,0.01745,0.01450,0.00569,0.00222,0.01129
AJX  ,0.00022,0.00045,0.01500,0.00863,0.00145,0.01111,0.00828,0.00469,0.22385,0.08031,0.00262,0.00894,0.00763,0.00167,0.03051,0.00813,0.00643,0.00583,0.00943,0.01680
AKAM ,0.00986,0.00215,0.00203,0.02122,0.27649,0.36659,0.05679,0.00809,0.02848,0.00603,0.00331,0.00659,0.01388,0.00096,0.02129,0.00922,0.00005,0.01521,0.00497,0.01587
AKAO ,0.01761,0.01450,0.00124,0.00061,0.00577,0.01894,0.02285,0.04107,0.01572,0.00095,0.08663,0.01723,0.00118,0.00069,0.00066,0.01314,0.02980,0.04348,0.00361,0.00055
AKBA ,0.14683,0.00484,0.02960,0.00020,0.02767,0.01271,0.00914,0.01450,0.02725,0.00330,0.02773,0.00068,0.01386,0.01022,0.01600,0.01893,0.01916,0.02822,0.01384,0.00160
AKCA ,0.01252,0.00124,0.00963,0.00179,0.01665,0.01003,0.00155,0.00150,0.00799,0.00093,0.04231,0.02671,0.00427,0.00770,0.00249,0.00780,0.01140,0.04506,0.00746,0.00714
AKER ,0.00364,0.01319,0.00214,0.00382,0.02499,0.02694,0.02156,0.01683,0.03785,0.01572,0.03409,0.00360,0.01342,0.00319,0.00306,0.00013,0.00242,0.02346,0.00075,0.01099
AKGC ,0.00350,0.01512,0.01544,0.01302,0.01060,0.00263,0.00935,0.22631,0.01076,0.01026,0.00199,0.00211,0.02527,0.00191,0.00353,0.00530,0.00158,0.00291,0.00123,0.01406
AKG  ,0.02107,0.03014,0.00994,0.00560,0.01193,0.00164,0.01880,0.00205,0.00083,0.00435,0.17599,0.01059,0.00404,0.02308,0.00788,0.00789,0.00312,0.02783,0.02645,0.01976
AKO.A,0.20598,0.04134,0.00606,0.01214,0.04554,0.16170,0.01377,0.01515,0.02211,0.00861,0.00184,0.00057,0.00073,0.40627,0.54989,0.00038,0.00022,0.10867,0.00001,0.00453
AKO.B,0.25184,0.38811,0.09137,0.01403,0.19926,0.07076,0.02811,0.01025,0.00745,0.01265,0.00258,0.00549,0.00613,0.00185,0.01749,0.01021,0.00123,0.42735,0.62231,0.17624
AKP  ,0.02214,0.02141,0.00740,0.03646,0.07705,0.04489,0.01947,0.01088,0.00462,0.00525,0.00307,0.19276,0.01851,0.02083,0.00580,0.00869,0.01420,0.00980,0.01699,0.02510
AKRX ,0.01311,0.01644,0.01249,0.00435,0.01274,0.01836,0.00755,0.03062,0.01404,0.13932,0.00381,0.01492,0.01305,0.00275,0.01485,0.00233,0.07631,0.00515,0.00922,0.00869
AKR  ,0.02214,0.00473,0.00615,0.18941,0.03108,0.01814,0.00200,0.01145,0.00587,0.00967,0.00034,0.02475,0.05274,0.00539,0.01043,0.00248,0.00015,0.02576,0.05181,0.01250
AKS  ,0.11664,0.14881,0.25419,0.00283,0.01979,0.02783,0.03357,0.01964,0.06545,0.00142,0.00870,0.03097,0.15162,0.27849,0.15979,0.00572,0.00721,0.01658,0.02283,0.00642
