Stocks,2017  ± 1,2016  ± 1,2015  ± 1,2014  ± 1,2013  ± 1,2012  ± 1,2011  ± 1,2010  ± 1,2009  ± 1,2008  ± 1,2007  ± 1,2006  ± 1,2005  ± 1,2004  ± 1,2003  ± 1,2002  ± 1,2001  ± 1,2000  ± 1,1999  ± 1,1998  ± 1
AINV,0.00576,0.00796,0.00326,0.00207,0.01311,0.0296,0.00826,0.00136,0.02412,0.00019,0.04473,0.00435,0.01039,0.00943,0.25115,0.02259,0.0058,0.01881,0.01115,0.00396
AIRG,0.00695,0.02627,0.01174,0.02547,0.00139,0.0048,0.01201,0.00143,0.01107,0.00199,0.04019,0.00944,0.01222,0.02492,0.00385,0.04873,0.06434,0.03558,0.00114,0.00008
AIRI,0.00857,0.00031,0.00062,0.00922,0.00824,0.01244,0.00456,0.01827,0.0072,0.00108,0.00366,0.01964,0.00143,0.01917,0.00042,0.00023,0.00721,0.00118,0.00014,0.00308
AIRM,0.00019,0.02719,0.0005,0.00314,0.06182,0.00592,0.00974,0.12454,0.0032,0.01547,0.00264,0.00832,0.0346,0.03273,0.00634,0.00339,0.00614,0.01039,0.36239,0.01036
AIT,0.17785,0.02388,0.0112,0.00006,0.11686,0.23266,0.0339,0.01302,0.07939,0.19599,0.02053,0.0273,0.00781,0.0133,0.28948,0.00125,0.00983,0.0045,0.03545,0.21707
AIV,0.00162,0.00847,0.00121,0.00052,0.00682,0.003,0.00766,0.02221,0.02279,0.0316,0.01785,0.0034,0.02723,0.00668,0.01254,0.06381,0.00229,0.01431,0.00779,0.00983
AIXG,0.01213,0.00796,0.02493,0.17335,0.00013,0.00479,0.0147,0.00841,0.00384,0.01454,0.01281,0.02505,0.02579,0.01724,0.01155,0.00095,0.20245,0.00232,0.00778,0.00054
AIZ,0.00902,0.01206,0.00177,0.00002,0.00241,0.05261,0.15726,0.03329,0.00312,0.01824,0.01596,0.01137,0.11193,0.01741,0.01568,0.02833,0.0052,0.01918,0.01056,0.00326
AJG,0.20431,0.00881,0.01458,0.01177,0.10734,0.00672,0.00457,0.15196,0.00653,0.01833,0.26863,0.21748,0.13853,0.51356,0.02105,0.0146,0.01545,0.19392,0.02277,0.33859
AJRD,0.00505,0.00963,0.00235,0.00122,0.00989,0.36283,0.00544,0.14014,0.02326,0.40486,0.20859,0.30374,0.05987,0.00362,0.00168,0.00158,0.00001,0.00365,0.01381,0.10149
AJX,0.00226,0.01273,0.01476,0.01838,0.00987,0.00312,0.00103,0.00469,0.00143,0.01499,0.01724,0.0203,0.01419,0.032,0.00127,0.00316,0.00362,0.00329,0.00962,0.0244
AKAM,0.00017,0.01079,0.01876,0.00421,0.01794,0.00396,0.00357,0.00809,0.00204,0.00018,0.00041,0.01475,0.02232,0.00466,0.00054,0.01393,0.02399,0.02369,0.,0.00006
AKAO,0.01791,0.04416,0.03798,0.00154,0.0106,0.0387,0.01262,0.04107,0.00204,0.03211,0.00086,0.00373,0.00354,0.00622,0.00352,0.0098,0.01701,0.0378,0.01722,0.01068
AKBA,0.01146,0.01765,0.01209,0.08679,0.03569,0.00782,0.00831,0.0145,0.01539,0.03317,0.01119,0.0133,0.00379,0.02752,0.00387,0.0086,0.02118,0.02743,0.00938,0.00075
